frequency,monetary,avg_order_value,total_interactions,interaction_types_count,engagement_segment,engaged_not_purchased,purchase_frequency_rate,interaction_purchase_ratio,customer_segment,location,acquisition_channel,age,gender,is_churned,will_purchase
12,137487.04,11457.253333333332,165,4,High Engagement,0,0,13,medium,Jaipur,ads,29,female,0,1
1,31537.0,31537.0,9,3,Medium Engagement,0,0,9,low,Delhi,organic,41,female,0,1
10,160905.78,16090.578,178,4,High Engagement,0,0,17,medium,Ahmedabad,ads,22,male,0,1
29,424884.09,14651.17551724138,284,4,High Engagement,0,0,9,medium,Bhubaneswar,ads,44,female,0,1
13,324082.38,24929.41384615385,254,4,High Engagement,0,0,19,medium,Kolkata,ads,21,female,0,1
73,1515555.37,20761.032465753426,678,4,High Engagement,0,0,9,high,Bhubaneswar,ads,41,female,0,1
44,586621.18,13332.299545454543,336,4,High Engagement,0,0,7,high,Jaipur,ads,28,female,0,1
27,492976.23,18258.37888888889,245,4,High Engagement,0,0,9,medium,Pune,organic,39,male,0,1
1,9403.02,9403.02,7,2,Medium Engagement,0,0,7,low,Pune,ads,44,female,1,1
2,17058.54,8529.27,13,4,Medium Engagement,0,0,6,low,Delhi,organic,36,male,0,1
13,221670.56,17051.581538461538,114,4,High Engagement,0,0,8,medium,Hyderabad,ads,23,male,0,1
40,737934.96,18448.374,332,4,High Engagement,0,0,8,high,Kolkata,organic,26,male,0,1
77,1800676.6,23385.41038961039,754,4,High Engagement,0,0,9,high,Jaipur,organic,27,male,0,1
1,10471.8,10471.8,5,2,Medium Engagement,0,0,5,low,Jaipur,ads,18,female,0,1
6,233610.14,38935.02333333333,74,4,High Engagement,0,0,12,medium,Jaipur,ads,46,male,0,1
19,273955.34,14418.702105263155,174,4,High Engagement,0,0,9,medium,Mumbai,ads,36,female,0,1
0,0.0,0.0,3,2,Low Engagement,1,0,0,low,Jaipur,ads,23,female,0,0
0,0.0,0.0,18,4,High Engagement,1,0,0,low,Pune,ads,49,female,0,0
2,110776.2,55388.1,6,3,Medium Engagement,0,0,3,low,Ahmedabad,ads,27,female,0,1
30,440150.53,14671.684333333333,223,4,High Engagement,0,0,7,high,Chennai,ads,37,other,0,1
1,28784.46,28784.46,9,4,Medium Engagement,0,0,9,low,Bhubaneswar,ads,26,male,0,1
0,0.0,0.0,7,4,Medium Engagement,1,0,0,low,Chennai,ads,18,female,0,0
12,258633.59,21552.799166666668,165,4,High Engagement,0,0,13,medium,Pune,ads,21,male,0,1
28,605458.04,21623.501428571428,312,4,High Engagement,0,0,11,medium,Pune,referral,30,female,0,1
11,188727.15,17157.013636363637,143,4,High Engagement,0,0,13,medium,Ahmedabad,organic,43,male,0,1
1,2346.0,2346.0,31,4,High Engagement,0,0,31,low,Bangalore,referral,38,female,0,1
88,1544977.27,17556.559886363637,781,4,High Engagement,0,0,8,high,Delhi,organic,36,male,0,1
20,395807.88,19790.394,292,4,High Engagement,0,0,14,medium,Mumbai,organic,18,male,0,1
72,1111319.37,15434.99125,525,4,High Engagement,0,0,7,high,Hyderabad,organic,47,female,0,1
1,2452.16,2452.16,11,3,Medium Engagement,0,0,11,low,Jaipur,ads,37,female,0,1
24,395532.83,16480.534583333334,210,4,High Engagement,0,0,8,high,Jaipur,organic,33,male,0,1
25,455893.12,18235.7248,229,4,High Engagement,0,0,9,medium,Ahmedabad,referral,46,female,0,1
26,579083.88,22272.456923076923,374,4,High Engagement,0,0,14,medium,Bangalore,referral,47,male,0,1
11,236908.06,21537.096363636363,193,4,High Engagement,0,0,17,medium,Mumbai,ads,32,female,0,1
22,484931.98,22042.362727272728,254,4,High Engagement,0,0,11,high,Delhi,referral,24,male,0,1
3,143158.32,47719.44,84,4,High Engagement,0,0,28,low,Mumbai,referral,44,male,0,1
36,431284.61,11980.128055555557,335,4,High Engagement,0,0,9,medium,Bangalore,ads,21,male,0,1
1,52852.44,52852.44,80,4,High Engagement,0,0,80,low,Pune,ads,54,male,0,1
44,914450.07,20782.956136363635,359,4,High Engagement,0,0,8,high,Mumbai,ads,35,female,0,1
16,206277.2,12892.325,169,4,High Engagement,0,0,10,medium,Chennai,ads,24,female,0,1
12,191434.74,15952.895,131,4,High Engagement,0,0,10,medium,Mumbai,organic,22,other,0,1
83,1284198.99,15472.276987951807,785,4,High Engagement,0,0,9,high,Pune,ads,22,male,0,1
22,432169.76,19644.08,279,4,High Engagement,0,0,12,medium,Jaipur,organic,36,female,0,1
31,653887.08,21093.131612903228,333,4,High Engagement,0,0,10,medium,Bhubaneswar,organic,34,male,0,1
2,21677.15,10838.575,15,4,High Engagement,0,0,7,low,Bhubaneswar,ads,22,female,0,1
20,348920.76,17446.038,186,4,High Engagement,0,0,9,medium,Bhubaneswar,referral,31,male,0,1
25,350073.9,14002.956,374,4,High Engagement,0,0,14,medium,Jaipur,referral,21,other,0,1
17,121637.65,7155.155882352941,210,4,High Engagement,0,0,12,medium,Ahmedabad,ads,40,male,0,1
0,0.0,0.0,5,3,Medium Engagement,1,0,0,low,Delhi,ads,34,female,0,0
30,455282.82,15176.094,351,4,High Engagement,0,0,11,medium,Delhi,organic,31,male,0,1
13,245938.97,18918.382307692307,155,4,High Engagement,0,0,11,medium,Jaipur,ads,22,female,0,1
4,122029.76,30507.44,49,4,High Engagement,0,0,12,medium,Mumbai,organic,31,female,0,1
17,257564.16,15150.832941176472,170,4,High Engagement,0,0,10,medium,Hyderabad,organic,30,female,0,1
5,84324.5,16864.9,45,4,High Engagement,0,0,9,medium,Delhi,ads,38,female,0,1
1,2962.38,2962.38,32,4,High Engagement,0,0,32,low,Chennai,organic,36,male,0,1
21,340373.09,16208.24238095238,278,4,High Engagement,0,0,13,medium,Chennai,organic,42,male,0,1
0,0.0,0.0,6,3,Medium Engagement,1,0,0,low,Kolkata,referral,30,female,0,0
55,1077975.23,19599.54963636364,500,4,High Engagement,0,0,9,high,Chennai,organic,18,male,0,1
21,250892.71,11947.271904761905,266,4,High Engagement,0,0,12,medium,Delhi,organic,44,female,0,1
1,7266.24,7266.24,6,3,Medium Engagement,0,0,6,low,Hyderabad,organic,25,female,0,1
45,759886.6,16886.36888888889,370,4,High Engagement,0,0,8,high,Pune,organic,23,male,0,1
27,485134.52,17967.945185185185,284,4,High Engagement,0,0,10,medium,Mumbai,ads,38,female,0,1
2,28185.48,14092.74,19,4,High Engagement,0,0,9,low,Pune,organic,29,female,0,1
14,256591.84,18327.98857142857,233,4,High Engagement,0,0,16,medium,Hyderabad,referral,29,female,0,1
3,223939.69,74646.56333333334,46,4,High Engagement,0,0,15,medium,Ahmedabad,organic,31,male,0,1
10,95447.35,9544.735,100,4,High Engagement,0,0,10,high,Bhubaneswar,ads,49,female,0,1
14,212078.97,15148.497857142856,206,4,High Engagement,0,0,14,medium,Kolkata,ads,34,male,0,1
94,1753816.24,18657.619574468084,789,4,High Engagement,0,0,8,high,Ahmedabad,ads,25,female,0,1
65,1446338.05,22251.35461538461,614,4,High Engagement,0,0,9,high,Delhi,ads,25,male,0,1
83,1479329.36,17823.245301204817,620,4,High Engagement,0,0,7,high,Hyderabad,referral,32,male,0,1
15,275039.41,18335.960666666662,216,4,High Engagement,0,0,14,medium,Bhubaneswar,organic,37,female,0,1
1,7191.36,7191.36,16,4,High Engagement,0,0,16,low,Kolkata,ads,39,male,0,1
104,2318509.1,22293.356730769232,797,4,High Engagement,0,0,7,high,Mumbai,referral,36,other,0,1
85,1639128.96,19283.87011764706,657,4,High Engagement,0,0,7,high,Mumbai,organic,26,male,0,1
24,644724.02,26863.50083333333,376,4,High Engagement,0,0,15,medium,Jaipur,organic,30,male,0,1
86,2337964.62,27185.63511627907,734,4,High Engagement,0,0,8,high,Delhi,organic,42,male,0,1
34,432961.88,12734.172941176472,289,4,High Engagement,0,0,8,high,Chennai,ads,23,male,0,1
56,721765.2,12888.664285714283,458,4,High Engagement,0,0,8,high,Hyderabad,organic,30,female,0,1
2,32727.23,16363.615,38,4,High Engagement,0,0,19,low,Kolkata,organic,40,female,0,1
0,0.0,0.0,28,4,High Engagement,1,0,0,low,Kolkata,ads,43,male,0,0
17,363886.08,21405.063529411764,164,4,High Engagement,0,0,9,medium,Chennai,ads,33,male,0,1
27,580792.97,21510.85074074074,364,4,High Engagement,0,0,13,medium,Chennai,organic,30,male,0,1
33,594238.01,18007.212424242425,340,4,High Engagement,0,0,10,medium,Ahmedabad,organic,21,male,0,1
20,593255.48,29662.774,162,4,High Engagement,0,0,8,medium,Bhubaneswar,ads,40,female,0,1
7,107685.04,15383.577142857142,113,4,High Engagement,0,0,16,medium,Ahmedabad,referral,48,female,0,1
17,257700.11,15158.83,191,4,High Engagement,0,0,11,medium,Bangalore,ads,60,female,0,1
5,47610.66,9522.132,59,4,High Engagement,0,0,11,medium,Bangalore,ads,38,other,0,1
46,764791.66,16625.90565217391,415,4,High Engagement,0,0,9,high,Delhi,organic,34,female,0,1
13,96557.51,7427.500769230769,257,4,High Engagement,0,0,19,medium,Jaipur,organic,25,female,0,1
1,6766.76,6766.76,8,3,Medium Engagement,0,0,8,low,Hyderabad,ads,18,male,0,1
12,291534.06,24294.505,167,4,High Engagement,0,0,13,medium,Kolkata,referral,36,female,0,1
0,0.0,0.0,12,3,Medium Engagement,1,0,0,low,Bhubaneswar,ads,58,female,0,0
2,11589.31,5794.655,20,3,High Engagement,0,0,10,low,Mumbai,referral,47,male,0,1
84,1535572.58,18280.625952380957,712,4,High Engagement,0,0,8,high,Mumbai,referral,46,female,0,1
32,384977.7,12030.553125,338,4,High Engagement,0,0,10,medium,Pune,organic,37,other,0,1
10,180539.74,18053.974,285,4,High Engagement,0,0,28,medium,Chennai,organic,38,female,0,1
1,3378.18,3378.18,23,4,High Engagement,0,0,23,low,Delhi,organic,18,male,1,1
0,0.0,0.0,4,3,Low Engagement,1,0,0,low,Pune,organic,42,female,1,0
8,177718.94,22214.8675,145,4,High Engagement,0,0,18,medium,Pune,organic,29,other,0,1
14,285225.1,20373.22142857143,219,4,High Engagement,0,0,15,medium,Jaipur,referral,27,male,0,1
10,138780.99,13878.099,104,4,High Engagement,0,0,10,high,Kolkata,organic,31,female,0,1
0,0.0,0.0,18,4,High Engagement,1,0,0,low,Bhubaneswar,organic,27,male,1,0
0,0.0,0.0,10,3,Medium Engagement,1,0,0,low,Mumbai,referral,35,female,0,0
3,23458.5,7819.5,40,4,High Engagement,0,0,13,medium,Mumbai,ads,29,male,0,1
11,184564.3,16778.572727272727,142,4,High Engagement,0,0,12,medium,Mumbai,referral,36,female,0,1
9,181983.38,20220.375555555554,101,4,High Engagement,0,0,11,medium,Bangalore,referral,20,female,0,1
19,302176.51,15904.026842105262,170,4,High Engagement,0,0,8,medium,Hyderabad,ads,32,female,0,1
5,43866.32,8773.264,75,4,High Engagement,0,0,15,medium,Delhi,organic,24,male,0,1
1,5048.96,5048.96,35,4,High Engagement,0,0,35,low,Mumbai,organic,28,female,0,1
1,141831.36,141831.36,62,4,High Engagement,0,0,62,low,Jaipur,organic,36,other,0,1
1,7348.5,7348.5,10,4,Medium Engagement,0,0,10,low,Mumbai,ads,18,male,0,1
44,648957.31,14749.029772727274,414,4,High Engagement,0,0,9,high,Delhi,organic,26,female,0,1
0,0.0,0.0,2,1,Low Engagement,1,0,0,low,Bangalore,organic,40,male,0,0
1,9441.0,9441.0,16,4,High Engagement,0,0,16,low,Jaipur,ads,20,male,0,1
36,700584.11,19460.66972222222,376,4,High Engagement,0,0,10,medium,Pune,ads,52,female,0,1
29,421747.51,14543.017586206895,259,4,High Engagement,0,0,8,high,Delhi,ads,47,female,0,1
18,265730.8,14762.82222222222,174,4,High Engagement,0,0,9,medium,Pune,organic,30,female,0,1
0,0.0,0.0,14,3,Medium Engagement,1,0,0,low,Chennai,referral,27,male,0,0
10,161459.58,16145.958,124,4,High Engagement,0,0,12,medium,Ahmedabad,ads,37,male,0,1
0,0.0,0.0,7,3,Medium Engagement,1,0,0,low,Mumbai,organic,20,female,0,0
7,223529.96,31932.85142857143,101,4,High Engagement,0,0,14,medium,Delhi,ads,18,male,0,1
2,8234.9,4117.45,39,4,High Engagement,0,0,19,low,Ahmedabad,referral,30,male,0,1
41,662034.51,16147.183170731709,335,4,High Engagement,0,0,8,high,Bhubaneswar,organic,33,female,0,1
20,340165.38,17008.269,206,4,High Engagement,0,0,10,medium,Jaipur,organic,35,female,0,1
24,524620.68,21859.195,289,4,High Engagement,0,0,12,medium,Hyderabad,ads,28,male,0,1
20,276874.18,13843.709,156,4,High Engagement,0,0,7,high,Chennai,organic,47,male,0,1
1,6509.0,6509.0,14,4,Medium Engagement,0,0,14,low,Bhubaneswar,referral,20,female,0,1
11,359760.18,32705.47090909091,135,4,High Engagement,0,0,12,medium,Bhubaneswar,organic,23,other,0,1
35,664720.96,18992.02742857143,394,4,High Engagement,0,0,11,medium,Chennai,ads,39,male,0,1
12,204757.04,17063.086666666666,140,4,High Engagement,0,0,11,medium,Pune,ads,23,female,0,1
27,509457.09,18868.78111111111,323,4,High Engagement,0,0,11,medium,Delhi,ads,22,male,0,1
11,219488.73,19953.52090909091,127,4,High Engagement,0,0,11,high,Kolkata,organic,36,female,0,1
67,1159341.36,17303.602388059702,566,4,High Engagement,0,0,8,high,Mumbai,organic,24,male,0,1
10,187542.09,18754.209,100,4,High Engagement,0,0,10,medium,Bangalore,organic,28,female,0,1
2,8817.17,4408.585,9,3,Medium Engagement,0,0,4,low,Delhi,organic,26,female,0,1
1,36400.98,36400.98,41,4,High Engagement,0,0,41,low,Mumbai,referral,18,female,0,1
6,37031.77,6171.961666666667,114,4,High Engagement,0,0,19,medium,Delhi,organic,36,male,0,1
5,73223.56,14644.712,78,4,High Engagement,0,0,15,medium,Bhubaneswar,ads,22,female,0,1
27,302842.36,11216.383703703705,366,4,High Engagement,0,0,13,medium,Kolkata,ads,33,male,0,1
0,0.0,0.0,11,4,Medium Engagement,1,0,0,low,Bangalore,ads,29,male,0,0
4,139077.43,34769.3575,49,4,High Engagement,0,0,12,low,Delhi,referral,32,male,0,1
15,345092.77,23006.184666666668,217,4,High Engagement,0,0,14,medium,Mumbai,organic,33,female,0,1
0,0.0,0.0,5,1,Medium Engagement,1,0,0,low,Bangalore,referral,36,male,0,0
22,356401.01,16200.04590909091,196,4,High Engagement,0,0,8,high,Bangalore,ads,27,female,0,1
0,0.0,0.0,3,3,Low Engagement,1,0,0,low,Hyderabad,referral,47,female,0,0
0,0.0,0.0,11,4,Medium Engagement,1,0,0,low,Jaipur,ads,18,female,0,0
41,647836.38,15800.887317073171,358,4,High Engagement,0,0,8,high,Bhubaneswar,ads,32,female,0,1
21,348035.01,16573.095714285715,276,4,High Engagement,0,0,13,medium,Hyderabad,organic,43,male,0,1
79,1549975.75,19619.94620253165,620,4,High Engagement,0,0,7,high,Mumbai,organic,39,male,0,1
24,251101.02,10462.5425,275,4,High Engagement,0,0,11,medium,Mumbai,ads,25,female,0,1
0,0.0,0.0,6,3,Medium Engagement,1,0,0,low,Pune,referral,26,male,0,0
14,273483.01,19534.500714285718,181,4,High Engagement,0,0,12,medium,Delhi,ads,24,male,0,1
75,1307559.22,17434.122933333332,586,4,High Engagement,0,0,7,high,Delhi,organic,40,male,0,1
6,176547.83,29424.63833333333,92,4,High Engagement,0,0,15,medium,Pune,referral,27,male,0,1
2,18718.4,9359.2,15,3,High Engagement,0,0,7,low,Ahmedabad,ads,37,female,0,1
27,397317.74,14715.471851851851,277,4,High Engagement,0,0,10,medium,Chennai,organic,37,male,0,1
7,229457.46,32779.637142857144,181,4,High Engagement,0,0,25,medium,Delhi,organic,58,female,0,1
16,152868.97,9554.310625,107,4,High Engagement,0,0,6,high,Chennai,organic,38,male,0,1
0,0.0,0.0,3,3,Low Engagement,1,0,0,low,Delhi,referral,26,female,0,0
0,0.0,0.0,12,4,Medium Engagement,1,0,0,low,Jaipur,referral,20,female,0,0
8,120993.7,15124.2125,84,4,High Engagement,0,0,10,medium,Ahmedabad,organic,32,female,0,1
57,1056380.11,18532.98438596491,532,4,High Engagement,0,0,9,high,Kolkata,organic,33,male,0,1
19,164636.2,8665.063157894738,138,4,High Engagement,0,0,7,high,Ahmedabad,ads,18,male,0,1
72,1633850.42,22692.36694444444,590,4,High Engagement,0,0,8,high,Mumbai,referral,27,female,0,1
31,520374.71,16786.280967741935,289,4,High Engagement,0,0,9,medium,Pune,ads,37,male,0,1
0,0.0,0.0,4,3,Low Engagement,1,0,0,low,Mumbai,ads,29,male,0,0
6,125496.99,20916.165,63,4,High Engagement,0,0,10,medium,Kolkata,organic,44,female,0,1
0,0.0,0.0,27,4,High Engagement,1,0,0,low,Hyderabad,ads,19,other,0,0
6,40284.77,6714.128333333333,57,4,High Engagement,0,0,9,medium,Mumbai,organic,41,female,0,1
1,17755.5,17755.5,5,2,Medium Engagement,0,0,5,low,Mumbai,organic,44,female,0,1
65,1313427.47,20206.57646153846,585,4,High Engagement,0,0,9,high,Bangalore,referral,19,female,0,1
3,57461.54,19153.846666666668,61,4,High Engagement,0,0,20,medium,Chennai,organic,38,male,0,1
16,230618.49,14413.655625,338,4,High Engagement,0,0,21,medium,Ahmedabad,referral,28,female,0,1
42,729254.28,17363.19714285714,323,4,High Engagement,0,0,7,high,Hyderabad,organic,20,female,0,1
16,340727.63,21295.476875,164,4,High Engagement,0,0,10,medium,Ahmedabad,ads,30,male,0,1
10,171057.45,17105.745,134,4,High Engagement,0,0,13,medium,Jaipur,ads,25,female,0,1
0,0.0,0.0,4,2,Low Engagement,1,0,0,low,Chennai,organic,44,male,0,0
9,277799.12,30866.56888888889,133,4,High Engagement,0,0,14,medium,Hyderabad,referral,40,female,0,1
1,3948.64,3948.64,8,3,Medium Engagement,0,0,8,low,Jaipur,ads,23,female,0,1
15,321566.48,21437.765333333333,199,4,High Engagement,0,0,13,medium,Bhubaneswar,ads,27,male,0,1
1,17331.96,17331.96,13,4,Medium Engagement,0,0,13,low,Bangalore,referral,31,male,1,1
5,109780.24,21956.048,86,4,High Engagement,0,0,17,medium,Mumbai,referral,34,other,0,1
0,0.0,0.0,11,4,Medium Engagement,1,0,0,low,Bangalore,ads,45,female,0,0
27,401038.67,14853.284074074074,327,4,High Engagement,0,0,12,medium,Ahmedabad,referral,41,male,0,1
3,25497.39,8499.13,70,4,High Engagement,0,0,23,medium,Hyderabad,organic,35,female,0,1
32,399691.83,12490.3696875,318,4,High Engagement,0,0,9,medium,Jaipur,organic,32,male,0,1
26,470606.66,18100.256153846152,375,4,High Engagement,0,0,14,medium,Kolkata,ads,18,male,0,1
17,440157.62,25891.624705882357,159,4,High Engagement,0,0,9,high,Jaipur,organic,47,female,0,1
62,852595.22,13751.535806451611,556,4,High Engagement,0,0,8,high,Bangalore,ads,30,female,0,1
30,548988.55,18299.61833333333,234,4,High Engagement,0,0,7,high,Mumbai,organic,50,male,0,1
0,0.0,0.0,14,4,Medium Engagement,1,0,0,low,Kolkata,ads,36,female,0,0
19,289544.81,15239.20052631579,215,4,High Engagement,0,0,11,medium,Ahmedabad,referral,55,male,0,1
9,66268.75,7363.194444444444,189,4,High Engagement,0,0,21,medium,Kolkata,ads,41,female,0,1
0,0.0,0.0,5,4,Medium Engagement,1,0,0,low,Chennai,referral,20,male,0,0
22,400231.87,18192.357727272727,321,4,High Engagement,0,0,14,medium,Bhubaneswar,ads,28,male,0,1
21,343604.78,16362.13238095238,344,4,High Engagement,0,0,16,medium,Mumbai,organic,33,male,0,1
17,353490.22,20793.54235294117,127,4,High Engagement,0,0,7,high,Bangalore,organic,26,male,0,1
0,0.0,0.0,3,2,Low Engagement,1,0,0,low,Hyderabad,organic,31,male,0,0
0,0.0,0.0,14,4,Medium Engagement,1,0,0,low,Pune,referral,21,male,0,0
0,0.0,0.0,12,4,Medium Engagement,1,0,0,low,Kolkata,organic,35,female,0,0
14,320635.77,22902.555,177,4,High Engagement,0,0,12,medium,Delhi,organic,37,male,0,1
0,0.0,0.0,33,4,High Engagement,1,0,0,low,Pune,referral,24,male,0,0
46,579215.1,12591.632608695652,398,4,High Engagement,0,0,8,high,Ahmedabad,ads,54,female,0,1
66,1114656.76,16888.73878787879,615,4,High Engagement,0,0,9,high,Delhi,organic,35,male,0,1
76,1009701.7,13285.548684210526,607,4,High Engagement,0,0,7,high,Delhi,organic,26,female,0,1
23,180885.91,7864.604782608696,333,4,High Engagement,0,0,14,medium,Delhi,referral,18,male,0,1
13,155435.87,11956.605384615385,203,4,High Engagement,0,0,15,medium,Jaipur,referral,35,male,0,1
18,256740.48,14263.36,252,4,High Engagement,0,0,14,medium,Pune,organic,32,male,0,1
69,1314146.55,19045.602173913045,550,4,High Engagement,0,0,7,high,Ahmedabad,ads,42,male,0,1
5,56170.01,11234.002,94,4,High Engagement,0,0,18,medium,Bangalore,referral,33,female,0,1
0,0.0,0.0,9,3,Medium Engagement,1,0,0,low,Bhubaneswar,ads,23,male,0,0
15,187388.65,12492.576666666668,146,4,High Engagement,0,0,9,medium,Ahmedabad,referral,51,female,0,1
8,229349.13,28668.64125,98,4,High Engagement,0,0,12,medium,Bangalore,referral,32,male,0,1
33,339580.07,10290.305151515153,336,4,High Engagement,0,0,10,medium,Mumbai,organic,39,male,0,1
22,365626.37,16619.380454545455,336,4,High Engagement,0,0,15,medium,Pune,ads,20,female,0,1
24,374862.87,15619.28625,242,4,High Engagement,0,0,10,medium,Bangalore,ads,36,female,0,1
12,299902.61,24991.884166666667,148,4,High Engagement,0,0,12,medium,Pune,referral,30,male,0,1
2,4624.88,2312.44,31,4,High Engagement,0,0,15,low,Chennai,organic,40,female,0,1
4,19272.99,4818.2475,75,4,High Engagement,0,0,18,medium,Jaipur,referral,27,male,0,1
17,275305.68,16194.451764705882,195,4,High Engagement,0,0,11,medium,Bhubaneswar,organic,28,male,0,1
0,0.0,0.0,10,3,Medium Engagement,1,0,0,low,Chennai,ads,51,male,0,0
12,98202.29,8183.524166666667,138,4,High Engagement,0,0,11,medium,Bangalore,organic,47,other,0,1
26,293337.24,11282.20153846154,319,4,High Engagement,0,0,12,medium,Ahmedabad,ads,18,male,0,1
23,275649.56,11984.76347826087,302,4,High Engagement,0,0,13,medium,Pune,ads,46,male,0,1
4,25894.68,6473.67,44,4,High Engagement,0,0,11,medium,Chennai,organic,34,male,0,1
15,526742.09,35116.13933333333,129,4,High Engagement,0,0,8,medium,Pune,organic,27,male,0,1
5,66591.81,13318.362,86,4,High Engagement,0,0,17,medium,Jaipur,ads,24,male,0,1
0,0.0,0.0,12,3,Medium Engagement,1,0,0,low,Ahmedabad,referral,25,male,0,0
25,363877.8,14555.112,219,4,High Engagement,0,0,8,medium,Chennai,organic,28,male,0,1
8,203182.98,25397.8725,89,4,High Engagement,0,0,11,medium,Pune,organic,23,male,0,1
14,212482.26,15177.304285714286,168,4,High Engagement,0,0,12,medium,Ahmedabad,organic,21,female,0,1
0,0.0,0.0,9,2,Medium Engagement,1,0,0,low,Kolkata,organic,38,male,0,0
23,331752.32,14424.013913043478,261,4,High Engagement,0,0,11,medium,Delhi,organic,35,female,0,1
1,4520.25,4520.25,12,3,Medium Engagement,0,0,12,low,Bhubaneswar,ads,40,male,0,1
21,292935.67,13949.31761904762,243,4,High Engagement,0,0,11,medium,Bangalore,ads,34,female,0,1
24,525649.44,21902.06,316,4,High Engagement,0,0,13,medium,Mumbai,organic,21,male,0,1
56,974657.17,17404.592321428572,498,4,High Engagement,0,0,8,high,Kolkata,referral,39,female,0,1
6,119007.25,19834.541666666668,85,4,High Engagement,0,0,14,medium,Bangalore,ads,24,female,0,1
7,43345.17,6192.167142857143,119,4,High Engagement,0,0,17,medium,Chennai,ads,41,female,0,1
4,40173.58,10043.395,80,4,High Engagement,0,0,20,low,Bhubaneswar,organic,23,female,0,1
17,344015.53,20236.207647058825,259,4,High Engagement,0,0,15,medium,Jaipur,referral,28,female,0,1
1,2607.75,2607.75,20,4,High Engagement,0,0,20,low,Bhubaneswar,organic,31,male,0,1
4,18387.03,4596.7575,82,4,High Engagement,0,0,20,medium,Pune,organic,41,female,0,1
12,172091.3,14340.941666666668,165,4,High Engagement,0,0,13,medium,Bhubaneswar,organic,36,male,0,1
32,379595.4,11862.35625,347,4,High Engagement,0,0,10,medium,Chennai,ads,35,male,0,1
82,1807275.34,22039.943170731705,653,4,High Engagement,0,0,7,high,Jaipur,ads,53,male,0,1
24,366986.65,15291.110416666666,361,4,High Engagement,0,0,15,medium,Jaipur,ads,18,female,0,1
75,1228378.71,16378.3828,587,4,High Engagement,0,0,7,high,Hyderabad,organic,24,male,0,1
30,462418.97,15413.965666666669,314,4,High Engagement,0,0,10,medium,Bhubaneswar,ads,24,female,0,1
8,198480.7,24810.0875,88,4,High Engagement,0,0,11,medium,Delhi,ads,18,female,0,1
0,0.0,0.0,8,2,Medium Engagement,1,0,0,low,Hyderabad,organic,27,male,0,0
27,347379.19,12865.895925925926,325,4,High Engagement,0,0,12,medium,Hyderabad,referral,41,male,0,1
37,936760.67,25317.855945945947,403,4,High Engagement,0,0,10,high,Chennai,organic,29,other,0,1
19,319516.18,16816.641052631578,327,4,High Engagement,0,0,17,medium,Kolkata,ads,31,female,0,1
0,0.0,0.0,3,2,Low Engagement,1,0,0,low,Delhi,organic,18,male,1,0
0,0.0,0.0,6,3,Medium Engagement,1,0,0,low,Jaipur,ads,27,male,1,0
4,156941.06,39235.265,60,4,High Engagement,0,0,15,medium,Bhubaneswar,referral,30,male,0,1
6,133573.98,22262.33,91,4,High Engagement,0,0,15,medium,Hyderabad,referral,41,male,0,1
