customer_id,recency_days,frequency,monetary,avg_order_value,total_interactions,last_interaction_days,interaction_types_count,engagement_segment,has_purchased,engaged_not_purchased,purchase_frequency_rate,interaction_purchase_ratio,customer_segment,location,acquisition_channel,age,gender
C00030,776,1,9403.02,9403.02,7,771,2,Medium Engagement,1,0,0,7,low,Pune,ads,44,female
C00031,539,2,17058.54,8529.27,13,516,4,Medium Engagement,1,0,0,6,low,Delhi,organic,36,male
C00032,91,13,221670.56,17051.581538461538,114,3,4,High Engagement,1,0,0,8,medium,Hyderabad,ads,23,male
C00033,5,40,737934.96,18448.374,332,1,4,High Engagement,1,0,0,8,high,Kolkata,organic,26,male
C00034,0,77,1800676.6,23385.41038961039,754,0,4,High Engagement,1,0,0,9,high,Jaipur,organic,27,male
C00035,304,1,10471.8,10471.8,5,285,2,Medium Engagement,1,0,0,5,low,Jaipur,ads,18,female
C00036,25,6,233610.14,38935.02333333333,74,1,4,High Engagement,1,0,0,12,medium,Jaipur,ads,46,male
C00037,3,19,273955.34,14418.702105263157,174,3,4,High Engagement,1,0,0,9,medium,Mumbai,ads,36,female
C00038,121,0,0.0,0.0,3,94,2,Low Engagement,0,1,0,0,low,Jaipur,ads,23,female
C00039,631,0,0.0,0.0,18,520,4,High Engagement,0,1,0,0,low,Pune,ads,49,female
C00040,97,2,110776.2,55388.1,6,90,3,Medium Engagement,1,0,0,3,low,Ahmedabad,ads,27,female
C00041,6,30,440150.53,14671.684333333333,223,0,4,High Engagement,1,0,0,7,high,Chennai,ads,37,other
C00042,240,1,28784.46,28784.46,9,214,4,Medium Engagement,1,0,0,9,low,Bhubaneswar,ads,26,male
C00043,577,0,0.0,0.0,7,551,4,Medium Engagement,0,1,0,0,low,Chennai,ads,18,female
C00044,7,12,258633.59,21552.799166666668,165,0,4,High Engagement,1,0,0,13,medium,Pune,ads,21,male
C00045,9,28,605458.04,21623.501428571428,312,0,4,High Engagement,1,0,0,11,medium,Pune,referral,30,female
C00046,68,11,188727.15,17157.013636363637,143,0,4,High Engagement,1,0,0,13,medium,Ahmedabad,organic,43,male
C00047,48,1,2346.0,2346.0,31,11,4,High Engagement,1,0,0,31,low,Bangalore,referral,38,female
C00048,11,88,1544977.27,17556.559886363637,781,0,4,High Engagement,1,0,0,8,high,Delhi,organic,36,male
C00049,51,20,395807.88,19790.394,292,2,4,High Engagement,1,0,0,14,medium,Mumbai,organic,18,male
C00050,6,72,1111319.37,15434.99125,525,0,4,High Engagement,1,0,0,7,high,Hyderabad,organic,47,female
C00051,401,1,2452.16,2452.16,11,396,3,Medium Engagement,1,0,0,11,low,Jaipur,ads,37,female
C00052,3,24,395532.83,16480.534583333334,210,1,4,High Engagement,1,0,0,8,high,Jaipur,organic,33,male
C00053,0,25,455893.12,18235.7248,229,0,4,High Engagement,1,0,0,9,medium,Ahmedabad,referral,46,female
C00054,65,26,579083.88,22272.456923076923,374,3,4,High Engagement,1,0,0,14,medium,Bangalore,referral,47,male
C00056,0,11,236908.06,21537.096363636363,193,0,4,High Engagement,1,0,0,17,medium,Mumbai,ads,32,female
C00057,4,22,484931.98,22042.362727272728,254,0,4,High Engagement,1,0,0,11,high,Delhi,referral,24,male
C00058,161,3,143158.32,47719.44,84,14,4,High Engagement,1,0,0,28,low,Mumbai,referral,44,male
C00059,8,36,431284.61,11980.128055555557,335,1,4,High Engagement,1,0,0,9,medium,Bangalore,ads,21,male
C00060,423,1,52852.44,52852.44,80,0,4,High Engagement,1,0,0,80,low,Pune,ads,54,male
C00061,20,44,914450.07,20782.956136363635,359,0,4,High Engagement,1,0,0,8,high,Mumbai,ads,35,female
C00062,17,16,206277.2,12892.325,169,0,4,High Engagement,1,0,0,10,medium,Chennai,ads,24,female
C00063,0,12,191434.74,15952.895,131,0,4,High Engagement,1,0,0,10,medium,Mumbai,organic,22,other
C00064,9,83,1284198.99,15472.276987951807,785,0,4,High Engagement,1,0,0,9,high,Pune,ads,22,male
C00065,14,22,432169.76,19644.08,279,0,4,High Engagement,1,0,0,12,medium,Jaipur,organic,36,female
C00066,7,31,653887.08,21093.131612903228,333,0,4,High Engagement,1,0,0,10,medium,Bhubaneswar,organic,34,male
C00067,181,2,21677.15,10838.575,15,170,4,High Engagement,1,0,0,7,low,Bhubaneswar,ads,22,female
C00068,20,20,348920.76,17446.038,186,4,4,High Engagement,1,0,0,9,medium,Bhubaneswar,referral,31,male
C00069,62,25,350073.9,14002.956,374,1,4,High Engagement,1,0,0,14,medium,Jaipur,referral,21,other
C00070,15,17,121637.65,7155.155882352941,210,7,4,High Engagement,1,0,0,12,medium,Ahmedabad,ads,40,male
C00071,255,0,0.0,0.0,5,221,3,Medium Engagement,0,1,0,0,low,Delhi,ads,34,female
C00072,41,30,455282.82,15176.094,351,2,4,High Engagement,1,0,0,11,medium,Delhi,organic,31,male
C00073,4,13,245938.97,18918.382307692307,155,0,4,High Engagement,1,0,0,11,medium,Jaipur,ads,22,female
C00074,35,4,122029.76,30507.44,49,4,4,High Engagement,1,0,0,12,medium,Mumbai,organic,31,female
C00075,3,17,257564.16,15150.832941176472,170,2,4,High Engagement,1,0,0,10,medium,Hyderabad,organic,30,female
C00076,0,5,84324.5,16864.9,45,0,4,High Engagement,1,0,0,9,medium,Delhi,ads,38,female
C00077,117,1,2962.38,2962.38,32,104,4,High Engagement,1,0,0,32,low,Chennai,organic,36,male
C00078,64,21,340373.09,16208.24238095238,278,4,4,High Engagement,1,0,0,13,medium,Chennai,organic,42,male
C00079,619,0,0.0,0.0,6,584,3,Medium Engagement,0,1,0,0,low,Kolkata,referral,30,female
C00080,5,55,1077975.23,19599.549636363638,500,0,4,High Engagement,1,0,0,9,high,Chennai,organic,18,male
C00081,51,21,250892.71,11947.271904761905,266,3,4,High Engagement,1,0,0,12,medium,Delhi,organic,44,female
C00082,346,1,7266.24,7266.24,6,341,3,Medium Engagement,1,0,0,6,low,Hyderabad,organic,25,female
C00083,2,45,759886.6,16886.36888888889,370,0,4,High Engagement,1,0,0,8,high,Pune,organic,23,male
C00085,17,27,485134.52,17967.945185185185,284,2,4,High Engagement,1,0,0,10,medium,Mumbai,ads,38,female
C00086,20,2,28185.48,14092.74,19,11,4,High Engagement,1,0,0,9,low,Pune,organic,29,female
C00087,37,14,256591.84,18327.98857142857,233,1,4,High Engagement,1,0,0,16,medium,Hyderabad,referral,29,female
C00088,11,3,223939.69,74646.56333333334,46,1,4,High Engagement,1,0,0,15,medium,Ahmedabad,organic,31,male
C00089,1,10,95447.35,9544.735,100,1,4,High Engagement,1,0,0,10,high,Bhubaneswar,ads,49,female
C00090,4,14,212078.97,15148.497857142856,206,0,4,High Engagement,1,0,0,14,medium,Kolkata,ads,34,male
C00091,1,94,1753816.24,18657.619574468084,789,0,4,High Engagement,1,0,0,8,high,Ahmedabad,ads,25,female
C00092,3,65,1446338.05,22251.354615384615,614,0,4,High Engagement,1,0,0,9,high,Delhi,ads,25,male
C00093,1,83,1479329.36,17823.245301204817,620,0,4,High Engagement,1,0,0,7,high,Hyderabad,referral,32,male
C00094,71,15,275039.41,18335.960666666666,216,0,4,High Engagement,1,0,0,14,medium,Bhubaneswar,organic,37,female
C00095,321,1,7191.36,7191.36,16,244,4,High Engagement,1,0,0,16,low,Kolkata,ads,39,male
C00096,15,104,2318509.1,22293.356730769232,797,1,4,High Engagement,1,0,0,7,high,Mumbai,referral,36,other
C00097,5,85,1639128.96,19283.87011764706,657,0,4,High Engagement,1,0,0,7,high,Mumbai,organic,26,male
C00098,23,24,644724.02,26863.50083333333,376,4,4,High Engagement,1,0,0,15,medium,Jaipur,organic,30,male
C00099,21,86,2337964.62,27185.63511627907,734,1,4,High Engagement,1,0,0,8,high,Delhi,organic,42,male
C00100,24,34,432961.88,12734.172941176472,289,1,4,High Engagement,1,0,0,8,high,Chennai,ads,23,male
C00101,7,56,721765.2,12888.664285714285,458,2,4,High Engagement,1,0,0,8,high,Hyderabad,organic,30,female
C00102,613,2,32727.23,16363.615,38,467,4,High Engagement,1,0,0,19,low,Kolkata,organic,40,female
C00103,173,0,0.0,0.0,28,32,4,High Engagement,0,1,0,0,low,Kolkata,ads,43,male
C00104,12,17,363886.08,21405.063529411764,164,2,4,High Engagement,1,0,0,9,medium,Chennai,ads,33,male
C00105,55,27,580792.97,21510.85074074074,364,2,4,High Engagement,1,0,0,13,medium,Chennai,organic,30,male
C00106,2,33,594238.01,18007.212424242425,340,1,4,High Engagement,1,0,0,10,medium,Ahmedabad,organic,21,male
C00107,6,20,593255.48,29662.774,162,5,4,High Engagement,1,0,0,8,medium,Bhubaneswar,ads,40,female
C00108,87,7,107685.04,15383.577142857142,113,2,4,High Engagement,1,0,0,16,medium,Ahmedabad,referral,48,female
C00109,1,17,257700.11,15158.83,191,1,4,High Engagement,1,0,0,11,medium,Bangalore,ads,60,female
C00110,15,5,47610.66,9522.132,59,1,4,High Engagement,1,0,0,11,medium,Bangalore,ads,38,other
C00111,1,46,764791.66,16625.90565217391,415,0,4,High Engagement,1,0,0,9,high,Delhi,organic,34,female
C00112,48,13,96557.51,7427.500769230769,257,1,4,High Engagement,1,0,0,19,medium,Jaipur,organic,25,female
C00113,435,1,6766.76,6766.76,8,427,3,Medium Engagement,1,0,0,8,low,Hyderabad,ads,18,male
C00114,13,12,291534.06,24294.505,167,0,4,High Engagement,1,0,0,13,medium,Kolkata,referral,36,female
C00115,590,0,0.0,0.0,12,530,3,Medium Engagement,0,1,0,0,low,Bhubaneswar,ads,58,female
C00116,639,2,11589.31,5794.655,20,630,3,High Engagement,1,0,0,10,low,Mumbai,referral,47,male
C00117,9,84,1535572.58,18280.625952380953,712,2,4,High Engagement,1,0,0,8,high,Mumbai,referral,46,female
C00118,9,32,384977.7,12030.553125,338,0,4,High Engagement,1,0,0,10,medium,Pune,organic,37,other
C00119,57,10,180539.74,18053.974,285,3,4,High Engagement,1,0,0,28,medium,Chennai,organic,38,female
C00120,755,1,3378.18,3378.18,23,652,4,High Engagement,1,0,0,23,low,Delhi,organic,18,male
C00121,773,0,0.0,0.0,4,745,3,Low Engagement,0,1,0,0,low,Pune,organic,42,female
C00122,37,8,177718.94,22214.8675,145,3,4,High Engagement,1,0,0,18,medium,Pune,organic,29,other
C00123,7,14,285225.1,20373.22142857143,219,1,4,High Engagement,1,0,0,15,medium,Jaipur,referral,27,male
C00125,41,10,138780.99,13878.099,104,1,4,High Engagement,1,0,0,10,high,Kolkata,organic,31,female
C00126,722,0,0.0,0.0,18,646,4,High Engagement,0,1,0,0,low,Bhubaneswar,organic,27,male
C00127,137,0,0.0,0.0,10,90,3,Medium Engagement,0,1,0,0,low,Mumbai,referral,35,female
C00128,22,3,23458.5,7819.5,40,4,4,High Engagement,1,0,0,13,medium,Mumbai,ads,29,male
C00129,14,11,184564.3,16778.572727272727,142,0,4,High Engagement,1,0,0,12,medium,Mumbai,referral,36,female
C00130,13,9,181983.38,20220.375555555554,101,2,4,High Engagement,1,0,0,11,medium,Bangalore,referral,20,female
C00131,12,19,302176.51,15904.026842105262,170,7,4,High Engagement,1,0,0,8,medium,Hyderabad,ads,32,female
C00132,42,5,43866.32,8773.264,75,2,4,High Engagement,1,0,0,15,medium,Delhi,organic,24,male
C00133,643,1,5048.96,5048.96,35,609,4,High Engagement,1,0,0,35,low,Mumbai,organic,28,female
C00134,410,1,141831.36,141831.36,62,276,4,High Engagement,1,0,0,62,low,Jaipur,organic,36,other
C00135,278,1,7348.5,7348.5,10,260,4,Medium Engagement,1,0,0,10,low,Mumbai,ads,18,male
C00136,9,44,648957.31,14749.029772727274,414,2,4,High Engagement,1,0,0,9,high,Delhi,organic,26,female
C00137,428,0,0.0,0.0,2,426,1,Low Engagement,0,1,0,0,low,Bangalore,organic,40,male
C00138,571,1,9441.0,9441.0,16,547,4,High Engagement,1,0,0,16,low,Jaipur,ads,20,male
C00139,85,36,700584.11,19460.66972222222,376,5,4,High Engagement,1,0,0,10,medium,Pune,ads,52,female
C00140,5,29,421747.51,14543.017586206897,259,0,4,High Engagement,1,0,0,8,high,Delhi,ads,47,female
C00141,3,18,265730.8,14762.822222222221,174,1,4,High Engagement,1,0,0,9,medium,Pune,organic,30,female
C00142,130,0,0.0,0.0,14,61,3,Medium Engagement,0,1,0,0,low,Chennai,referral,27,male
C00143,37,10,161459.58,16145.958,124,0,4,High Engagement,1,0,0,12,medium,Ahmedabad,ads,37,male
C00144,580,0,0.0,0.0,7,552,3,Medium Engagement,0,1,0,0,low,Mumbai,organic,20,female
C00145,0,7,223529.96,31932.85142857143,101,0,4,High Engagement,1,0,0,14,medium,Delhi,ads,18,male
C00146,596,2,8234.9,4117.45,39,488,4,High Engagement,1,0,0,19,low,Ahmedabad,referral,30,male
C00147,19,41,662034.51,16147.183170731707,335,0,4,High Engagement,1,0,0,8,high,Bhubaneswar,organic,33,female
C00148,46,20,340165.38,17008.269,206,3,4,High Engagement,1,0,0,10,medium,Jaipur,organic,35,female
C00149,28,24,524620.68,21859.195,289,0,4,High Engagement,1,0,0,12,medium,Hyderabad,ads,28,male
C00150,0,20,276874.18,13843.709,156,0,4,High Engagement,1,0,0,7,high,Chennai,organic,47,male
C00151,604,1,6509.0,6509.0,14,580,4,Medium Engagement,1,0,0,14,low,Bhubaneswar,referral,20,female
C00152,29,11,359760.18,32705.47090909091,135,0,4,High Engagement,1,0,0,12,medium,Bhubaneswar,organic,23,other
C00153,27,35,664720.96,18992.02742857143,394,1,4,High Engagement,1,0,0,11,medium,Chennai,ads,39,male
C00154,0,12,204757.04,17063.086666666666,140,0,4,High Engagement,1,0,0,11,medium,Pune,ads,23,female
C00155,5,27,509457.09,18868.78111111111,323,0,4,High Engagement,1,0,0,11,medium,Delhi,ads,22,male
C00156,3,11,219488.73,19953.52090909091,127,2,4,High Engagement,1,0,0,11,high,Kolkata,organic,36,female
C00157,9,67,1159341.36,17303.602388059702,566,4,4,High Engagement,1,0,0,8,high,Mumbai,organic,24,male
C00159,67,10,187542.09,18754.209,100,0,4,High Engagement,1,0,0,10,medium,Bangalore,organic,28,female
C00160,101,2,8817.17,4408.585,9,92,3,Medium Engagement,1,0,0,4,low,Delhi,organic,26,female
C00161,201,1,36400.98,36400.98,41,6,4,High Engagement,1,0,0,41,low,Mumbai,referral,18,female
C00162,28,6,37031.77,6171.961666666667,114,1,4,High Engagement,1,0,0,19,medium,Delhi,organic,36,male
C00163,38,5,73223.56,14644.712,78,4,4,High Engagement,1,0,0,15,medium,Bhubaneswar,ads,22,female
C00164,5,27,302842.36,11216.383703703705,366,2,4,High Engagement,1,0,0,13,medium,Kolkata,ads,33,male
C00165,201,0,0.0,0.0,11,152,4,Medium Engagement,0,1,0,0,low,Bangalore,ads,29,male
C00166,23,4,139077.43,34769.3575,49,3,4,High Engagement,1,0,0,12,low,Delhi,referral,32,male
C00167,10,15,345092.77,23006.184666666668,217,3,4,High Engagement,1,0,0,14,medium,Mumbai,organic,33,female
C00168,490,0,0.0,0.0,5,459,1,Medium Engagement,0,1,0,0,low,Bangalore,referral,36,male
C00169,17,22,356401.01,16200.04590909091,196,0,4,High Engagement,1,0,0,8,high,Bangalore,ads,27,female
C00170,315,0,0.0,0.0,3,288,3,Low Engagement,0,1,0,0,low,Hyderabad,referral,47,female
C00171,473,0,0.0,0.0,11,424,4,Medium Engagement,0,1,0,0,low,Jaipur,ads,18,female
C00172,20,41,647836.38,15800.887317073171,358,0,4,High Engagement,1,0,0,8,high,Bhubaneswar,ads,32,female
C00173,10,21,348035.01,16573.095714285715,276,0,4,High Engagement,1,0,0,13,medium,Hyderabad,organic,43,male
C00174,9,79,1549975.75,19619.946202531646,620,0,4,High Engagement,1,0,0,7,high,Mumbai,organic,39,male
C00175,34,24,251101.02,10462.5425,275,1,4,High Engagement,1,0,0,11,medium,Mumbai,ads,25,female
C00176,436,0,0.0,0.0,6,408,3,Medium Engagement,0,1,0,0,low,Pune,referral,26,male
C00177,42,14,273483.01,19534.500714285714,181,0,4,High Engagement,1,0,0,12,medium,Delhi,ads,24,male
C00178,1,75,1307559.22,17434.122933333332,586,0,4,High Engagement,1,0,0,7,high,Delhi,organic,40,male
C00179,6,6,176547.83,29424.638333333332,92,0,4,High Engagement,1,0,0,15,medium,Pune,referral,27,male
C00180,141,2,18718.4,9359.2,15,125,3,High Engagement,1,0,0,7,low,Ahmedabad,ads,37,female
C00181,67,27,397317.74,14715.471851851851,277,0,4,High Engagement,1,0,0,10,medium,Chennai,organic,37,male
C00182,9,7,229457.46,32779.637142857144,181,1,4,High Engagement,1,0,0,25,medium,Delhi,organic,58,female
C00183,2,16,152868.97,9554.310625,107,0,4,High Engagement,1,0,0,6,high,Chennai,organic,38,male
C00184,365,0,0.0,0.0,3,337,3,Low Engagement,0,1,0,0,low,Delhi,referral,26,female
C00185,410,0,0.0,0.0,12,335,4,Medium Engagement,0,1,0,0,low,Jaipur,referral,20,female
C00186,37,8,120993.7,15124.2125,84,2,4,High Engagement,1,0,0,10,medium,Ahmedabad,organic,32,female
C00187,18,57,1056380.11,18532.98438596491,532,0,4,High Engagement,1,0,0,9,high,Kolkata,organic,33,male
C00188,3,19,164636.2,8665.063157894738,138,0,4,High Engagement,1,0,0,7,high,Ahmedabad,ads,18,male
C00189,0,72,1633850.42,22692.366944444442,590,0,4,High Engagement,1,0,0,8,high,Mumbai,referral,27,female
C00190,0,31,520374.71,16786.280967741935,289,0,4,High Engagement,1,0,0,9,medium,Pune,ads,37,male
C00191,137,0,0.0,0.0,4,93,3,Low Engagement,0,1,0,0,low,Mumbai,ads,29,male
C00192,33,6,125496.99,20916.165,63,2,4,High Engagement,1,0,0,10,medium,Kolkata,organic,44,female
C00193,447,0,0.0,0.0,27,274,4,High Engagement,0,1,0,0,low,Hyderabad,ads,19,other
C00194,45,6,40284.77,6714.128333333333,57,4,4,High Engagement,1,0,0,9,medium,Mumbai,organic,41,female
C00196,294,1,17755.5,17755.5,5,293,2,Medium Engagement,1,0,0,5,low,Mumbai,organic,44,female
C00197,19,65,1313427.47,20206.57646153846,585,0,4,High Engagement,1,0,0,9,high,Bangalore,referral,19,female
C00198,8,3,57461.54,19153.846666666668,61,0,4,High Engagement,1,0,0,20,medium,Chennai,organic,38,male
C00199,14,16,230618.49,14413.655625,338,6,4,High Engagement,1,0,0,21,medium,Ahmedabad,referral,28,female
C00200,2,42,729254.28,17363.19714285714,323,0,4,High Engagement,1,0,0,7,high,Hyderabad,organic,20,female
C00201,43,16,340727.63,21295.476875,164,4,4,High Engagement,1,0,0,10,medium,Ahmedabad,ads,30,male
C00202,15,10,171057.45,17105.745,134,1,4,High Engagement,1,0,0,13,medium,Jaipur,ads,25,female
C00203,553,0,0.0,0.0,4,526,2,Low Engagement,0,1,0,0,low,Chennai,organic,44,male
C00204,0,9,277799.12,30866.56888888889,133,0,4,High Engagement,1,0,0,14,medium,Hyderabad,referral,40,female
C00205,397,1,3948.64,3948.64,8,370,3,Medium Engagement,1,0,0,8,low,Jaipur,ads,23,female
C00206,9,15,321566.48,21437.765333333333,199,3,4,High Engagement,1,0,0,13,medium,Bhubaneswar,ads,27,male
C00207,656,1,17331.96,17331.96,13,641,4,Medium Engagement,1,0,0,13,low,Bangalore,referral,31,male
C00208,35,5,109780.24,21956.048,86,1,4,High Engagement,1,0,0,17,medium,Mumbai,referral,34,other
C00209,196,0,0.0,0.0,11,152,4,Medium Engagement,0,1,0,0,low,Bangalore,ads,45,female
C00210,44,27,401038.67,14853.284074074074,327,1,4,High Engagement,1,0,0,12,medium,Ahmedabad,referral,41,male
C00211,3,3,25497.39,8499.13,70,1,4,High Engagement,1,0,0,23,medium,Hyderabad,organic,35,female
C00212,13,32,399691.83,12490.3696875,318,0,4,High Engagement,1,0,0,9,medium,Jaipur,organic,32,male
C00213,24,26,470606.66,18100.256153846152,375,3,4,High Engagement,1,0,0,14,medium,Kolkata,ads,18,male
C00214,9,17,440157.62,25891.624705882354,159,0,4,High Engagement,1,0,0,9,high,Jaipur,organic,47,female
C00215,12,62,852595.22,13751.535806451613,556,0,4,High Engagement,1,0,0,8,high,Bangalore,ads,30,female
C00216,7,30,548988.55,18299.618333333332,234,0,4,High Engagement,1,0,0,7,high,Mumbai,organic,50,male
C00217,596,0,0.0,0.0,14,516,4,Medium Engagement,0,1,0,0,low,Kolkata,ads,36,female
C00218,2,19,289544.81,15239.20052631579,215,1,4,High Engagement,1,0,0,11,medium,Ahmedabad,referral,55,male
C00219,5,9,66268.75,7363.194444444444,189,1,4,High Engagement,1,0,0,21,medium,Kolkata,ads,41,female
C00220,183,0,0.0,0.0,5,151,4,Medium Engagement,0,1,0,0,low,Chennai,referral,20,male
C00221,15,22,400231.87,18192.357727272727,321,3,4,High Engagement,1,0,0,14,medium,Bhubaneswar,ads,28,male
C00222,17,21,343604.78,16362.13238095238,344,3,4,High Engagement,1,0,0,16,medium,Mumbai,organic,33,male
C00223,5,17,353490.22,20793.542352941175,127,0,4,High Engagement,1,0,0,7,high,Bangalore,organic,26,male
C00224,91,0,0.0,0.0,3,72,2,Low Engagement,0,1,0,0,low,Hyderabad,organic,31,male
C00225,149,0,0.0,0.0,14,96,4,Medium Engagement,0,1,0,0,low,Pune,referral,21,male
C00226,111,0,0.0,0.0,12,68,4,Medium Engagement,0,1,0,0,low,Kolkata,organic,35,female
C00227,7,14,320635.77,22902.555,177,0,4,High Engagement,1,0,0,12,medium,Delhi,organic,37,male
C00228,574,0,0.0,0.0,33,381,4,High Engagement,0,1,0,0,low,Pune,referral,24,male
C00229,1,46,579215.1,12591.632608695652,398,0,4,High Engagement,1,0,0,8,high,Ahmedabad,ads,54,female
C00230,0,66,1114656.76,16888.73878787879,615,0,4,High Engagement,1,0,0,9,high,Delhi,organic,35,male
C00231,1,76,1009701.7,13285.548684210526,607,0,4,High Engagement,1,0,0,7,high,Delhi,organic,26,female
C00232,45,23,180885.91,7864.604782608696,333,3,4,High Engagement,1,0,0,14,medium,Delhi,referral,18,male
C00233,72,13,155435.87,11956.605384615385,203,1,4,High Engagement,1,0,0,15,medium,Jaipur,referral,35,male
C00234,20,18,256740.48,14263.36,252,5,4,High Engagement,1,0,0,14,medium,Pune,organic,32,male
C00235,6,69,1314146.55,19045.602173913045,550,0,4,High Engagement,1,0,0,7,high,Ahmedabad,ads,42,male
C00236,1,5,56170.01,11234.002,94,1,4,High Engagement,1,0,0,18,medium,Bangalore,referral,33,female
C00237,623,0,0.0,0.0,9,547,3,Medium Engagement,0,1,0,0,low,Bhubaneswar,ads,23,male
C00238,23,15,187388.65,12492.576666666668,146,3,4,High Engagement,1,0,0,9,medium,Ahmedabad,referral,51,female
C00240,19,8,229349.13,28668.64125,98,1,4,High Engagement,1,0,0,12,medium,Bangalore,referral,32,male
C00242,4,33,339580.07,10290.305151515151,336,4,4,High Engagement,1,0,0,10,medium,Mumbai,organic,39,male
C00243,31,22,365626.37,16619.380454545455,336,1,4,High Engagement,1,0,0,15,medium,Pune,ads,20,female
C00244,4,24,374862.87,15619.28625,242,1,4,High Engagement,1,0,0,10,medium,Bangalore,ads,36,female
C00245,19,12,299902.61,24991.884166666667,148,2,4,High Engagement,1,0,0,12,medium,Pune,referral,30,male
C00246,382,2,4624.88,2312.44,31,343,4,High Engagement,1,0,0,15,low,Chennai,organic,40,female
C00247,5,4,19272.99,4818.2475,75,3,4,High Engagement,1,0,0,18,medium,Jaipur,referral,27,male
C00248,20,17,275305.68,16194.451764705882,195,2,4,High Engagement,1,0,0,11,medium,Bhubaneswar,organic,28,male
C00249,475,0,0.0,0.0,10,428,3,Medium Engagement,0,1,0,0,low,Chennai,ads,51,male
C00250,2,12,98202.29,8183.524166666667,138,2,4,High Engagement,1,0,0,11,medium,Bangalore,organic,47,other
C00251,10,26,293337.24,11282.201538461539,319,0,4,High Engagement,1,0,0,12,medium,Ahmedabad,ads,18,male
C00252,29,23,275649.56,11984.76347826087,302,2,4,High Engagement,1,0,0,13,medium,Pune,ads,46,male
C00253,20,4,25894.68,6473.67,44,0,4,High Engagement,1,0,0,11,medium,Chennai,organic,34,male
C00254,8,15,526742.09,35116.13933333333,129,0,4,High Engagement,1,0,0,8,medium,Pune,organic,27,male
C00255,134,5,66591.81,13318.362,86,0,4,High Engagement,1,0,0,17,medium,Jaipur,ads,24,male
