customer_id,signup_date,customer_segment,location,acquisition_channel,age,gender
C00077,2025-07-09,low,Chennai,organic,36,male
C00078,2024-06-10,medium,Chennai,organic,42,male
C00079,2024-07-20,low,Kolkata,referral,30,female
C00080,2024-09-26,high,Chennai,organic,18,male
C00081,2024-09-27,medium,Delhi,organic,44,female
C00082,2025-03-31,low,Hyderabad,organic,25,female
C00083,2025-04-06,high,Pune,organic,23,male
C00084,2025-12-27,low,Bhubaneswar,organic,34,female
C00085,2024-09-08,medium,Mumbai,ads,38,female
C00086,2025-12-02,low,Pune,organic,29,female
C00087,2024-10-22,medium,Hyderabad,referral,29,female
C00088,2025-12-25,medium,Ahmedabad,organic,31,male
C00089,2025-12-20,high,Bhubaneswar,ads,49,female
C00090,2024-12-03,medium,Kolkata,ads,34,male
C00091,2024-02-22,high,Ahmedabad,ads,25,female
C00092,2024-08-04,high,Delhi,ads,25,male
C00093,2024-07-06,high,Hyderabad,referral,32,male
C00094,2025-01-14,medium,Bhubaneswar,organic,37,female
C00095,2025-05-07,low,Kolkata,ads,39,male
C00096,2024-02-10,high,Mumbai,referral,36,other
C00097,2024-06-05,high,Mumbai,organic,26,male
C00098,2024-01-15,medium,Jaipur,organic,30,male
C00099,2024-03-05,high,Delhi,organic,42,male
C00100,2025-06-04,high,Chennai,ads,23,male
C00101,2024-12-09,high,Hyderabad,organic,30,female
C00102,2024-05-08,low,Kolkata,organic,40,female
C00103,2025-10-09,low,Kolkata,ads,43,male
C00104,2025-04-16,medium,Chennai,ads,33,male
C00105,2024-03-03,medium,Chennai,organic,30,male
C00106,2024-05-18,medium,Ahmedabad,organic,21,male
C00107,2025-05-13,medium,Bhubaneswar,ads,40,female
C00108,2025-08-15,medium,Ahmedabad,referral,48,female
C00109,2025-01-26,medium,Bangalore,ads,60,female
C00110,2025-11-05,medium,Bangalore,ads,38,other
C00111,2025-02-22,high,Delhi,organic,34,female
C00112,2024-10-15,medium,Jaipur,organic,25,female
C00113,2025-01-13,low,Hyderabad,ads,18,male
C00114,2025-05-04,medium,Kolkata,referral,36,female
C00115,2024-08-18,low,Bhubaneswar,ads,58,female
C00116,2024-02-10,low,Mumbai,referral,47,male
C00117,2024-01-28,high,Mumbai,referral,46,female
C00118,2024-05-14,medium,Pune,organic,37,other
C00119,2024-07-19,medium,Chennai,organic,38,female
C00120,2024-02-02,low,Delhi,organic,18,male
C00121,2024-02-17,low,Pune,organic,42,female
C00122,2025-05-17,medium,Pune,organic,29,other
C00123,2025-02-10,medium,Jaipur,referral,27,male
C00124,2025-07-27,low,Hyderabad,organic,31,female
C00125,2025-12-28,high,Kolkata,organic,31,female
C00126,2024-04-08,low,Bhubaneswar,organic,27,male
C00127,2025-11-14,low,Mumbai,referral,35,female
C00128,2025-12-26,medium,Mumbai,ads,29,male
C00129,2025-06-30,medium,Mumbai,referral,36,female
C00130,2025-09-04,medium,Bangalore,referral,20,female
C00131,2025-04-06,medium,Hyderabad,ads,32,female
C00132,2025-10-04,medium,Delhi,organic,24,male
C00133,2024-01-05,low,Mumbai,organic,28,female
C00134,2024-08-05,low,Jaipur,organic,36,other
C00135,2025-05-17,low,Mumbai,ads,18,male
C00136,2025-02-01,high,Delhi,organic,26,female
C00137,2025-01-27,low,Bangalore,organic,40,male
C00138,2024-07-25,low,Jaipur,ads,20,male
C00139,2024-01-15,medium,Pune,ads,52,female
C00140,2025-07-07,high,Delhi,ads,47,female
C00141,2025-04-05,medium,Pune,organic,30,female
C00142,2025-11-21,low,Chennai,referral,27,male
C00143,2025-07-28,medium,Ahmedabad,ads,37,male
C00144,2024-08-28,low,Mumbai,organic,20,female
C00145,2025-07-17,medium,Delhi,ads,18,male
C00146,2024-04-05,low,Ahmedabad,referral,30,male
C00147,2025-04-29,high,Bhubaneswar,organic,33,female
C00148,2025-02-10,medium,Jaipur,organic,35,female
C00149,2024-08-18,medium,Hyderabad,ads,28,male
C00150,2025-10-16,high,Chennai,organic,47,male
C00151,2024-06-19,low,Bhubaneswar,referral,20,female
C00152,2025-06-24,medium,Bhubaneswar,organic,23,other
C00153,2024-02-05,medium,Chennai,ads,39,male
C00154,2025-06-08,medium,Pune,ads,23,female
C00155,2024-06-08,medium,Delhi,ads,22,male
C00156,2025-11-29,high,Kolkata,organic,36,female
C00157,2024-08-30,high,Mumbai,organic,24,male
C00158,2024-03-26,low,Jaipur,organic,33,female
C00159,2025-07-31,medium,Bangalore,organic,28,female
C00160,2025-11-12,low,Delhi,organic,26,female
C00161,2025-07-10,low,Mumbai,referral,18,female
C00162,2025-07-27,medium,Delhi,organic,36,male
C00163,2025-10-07,medium,Bhubaneswar,ads,22,female
C00164,2024-01-28,medium,Kolkata,ads,33,male
C00165,2025-09-11,low,Bangalore,ads,29,male
C00166,2025-07-09,low,Delhi,referral,32,male
C00167,2024-12-05,medium,Mumbai,organic,33,female
C00168,2024-11-26,low,Bangalore,referral,36,male
C00169,2025-10-01,high,Bangalore,ads,27,female
C00170,2025-05-20,low,Hyderabad,referral,47,female
C00171,2024-12-13,low,Jaipur,ads,18,female
C00172,2025-04-17,high,Bhubaneswar,ads,32,female
C00173,2024-08-18,medium,Hyderabad,organic,43,male
C00174,2024-07-08,high,Mumbai,organic,39,male
C00175,2024-08-12,medium,Mumbai,ads,25,female
C00176,2025-01-19,low,Pune,referral,26,male
C00177,2025-01-11,medium,Delhi,ads,24,male
C00178,2024-10-09,high,Delhi,organic,40,male
C00179,2025-09-24,medium,Pune,referral,27,male
C00180,2025-09-19,low,Ahmedabad,ads,37,female
C00181,2024-09-15,medium,Chennai,organic,37,male
C00182,2024-12-24,medium,Delhi,organic,58,female
C00183,2025-12-10,high,Chennai,organic,38,male
C00184,2025-03-31,low,Delhi,referral,26,female
C00185,2025-02-14,low,Jaipur,referral,20,female
C00186,2025-10-10,medium,Ahmedabad,organic,32,female
C00187,2024-11-13,high,Kolkata,organic,33,male
C00188,2025-11-07,high,Ahmedabad,ads,18,male
C00189,2024-08-12,high,Mumbai,referral,27,female
C00190,2024-08-21,medium,Pune,ads,37,male
C00191,2025-11-14,low,Mumbai,ads,29,male
C00192,2025-10-25,medium,Kolkata,organic,44,female
C00193,2025-01-08,low,Hyderabad,ads,19,other
C00194,2025-11-02,medium,Mumbai,organic,41,female
C00195,2025-08-30,low,Mumbai,referral,44,other
C00196,2025-04-16,low,Mumbai,organic,44,female
C00197,2024-08-20,high,Bangalore,referral,19,female
C00198,2025-11-22,medium,Chennai,organic,38,male
C00199,2024-04-22,medium,Ahmedabad,referral,28,female
C00200,2025-05-11,high,Hyderabad,organic,20,female
C00201,2025-03-17,medium,Ahmedabad,ads,30,male
C00202,2025-07-17,medium,Jaipur,ads,25,female
C00203,2024-09-24,low,Chennai,organic,44,male
C00204,2025-05-24,medium,Hyderabad,referral,40,female
C00205,2025-01-20,low,Jaipur,ads,23,female
C00206,2025-01-21,medium,Bhubaneswar,ads,27,male
C00207,2024-04-22,low,Bangalore,referral,31,male
C00208,2025-09-04,medium,Mumbai,referral,34,other
C00209,2025-09-16,low,Bangalore,ads,45,female
C00210,2024-03-21,medium,Ahmedabad,referral,41,male
C00211,2025-11-29,medium,Hyderabad,organic,35,female
C00212,2024-04-22,medium,Jaipur,organic,32,male
C00213,2024-01-02,medium,Kolkata,ads,18,male
C00214,2025-10-03,high,Jaipur,organic,47,female
C00215,2024-08-07,high,Bangalore,ads,30,female
C00216,2025-07-19,high,Mumbai,organic,50,male
C00217,2024-08-12,low,Kolkata,ads,36,female
C00218,2025-01-19,medium,Ahmedabad,referral,55,male
C00219,2025-02-06,medium,Kolkata,ads,41,female
C00220,2025-09-29,low,Chennai,referral,20,male
C00221,2024-05-09,medium,Bhubaneswar,ads,28,male
C00222,2024-02-22,medium,Mumbai,organic,33,male
C00223,2025-11-14,high,Bangalore,organic,26,male
C00224,2025-12-30,low,Hyderabad,organic,31,male
C00225,2025-11-02,low,Pune,referral,21,male
C00226,2025-12-10,low,Kolkata,organic,35,female
C00227,2025-02-19,medium,Delhi,organic,37,male
C00228,2024-09-03,low,Pune,referral,24,male
C00229,2025-03-14,high,Ahmedabad,ads,54,female
C00230,2024-07-21,high,Delhi,organic,35,male
C00231,2024-07-02,high,Delhi,organic,26,female
C00232,2024-05-02,medium,Delhi,referral,18,male
C00233,2025-02-04,medium,Jaipur,referral,35,male
C00234,2024-10-20,medium,Pune,organic,32,male
C00235,2024-10-06,high,Ahmedabad,ads,42,male
C00236,2025-09-01,medium,Bangalore,referral,33,female
C00237,2024-07-16,low,Bhubaneswar,ads,23,male
C00238,2025-05-25,medium,Ahmedabad,referral,51,female
C00239,2024-05-23,low,Bangalore,ads,39,female
C00240,2025-08-31,medium,Bangalore,referral,32,male
C00241,2024-07-19,low,Delhi,organic,36,female
C00242,2024-05-03,medium,Mumbai,organic,39,male
C00243,2024-07-05,medium,Pune,ads,20,female
C00244,2024-11-21,medium,Bangalore,ads,36,female
C00245,2025-04-08,medium,Pune,referral,30,male
C00246,2024-12-14,low,Chennai,organic,40,female
C00247,2025-10-21,medium,Jaipur,referral,27,male
C00248,2025-02-06,medium,Bhubaneswar,organic,28,male
C00249,2024-12-11,low,Chennai,ads,51,male
C00250,2025-05-25,medium,Bangalore,organic,47,other
C00251,2024-05-26,medium,Ahmedabad,ads,18,male
C00252,2024-05-27,medium,Pune,ads,46,male
C00253,2025-12-11,medium,Chennai,organic,34,male
C00254,2025-05-03,medium,Pune,organic,27,male
C00255,2025-10-01,medium,Jaipur,ads,24,male
C00256,2025-07-04,low,Ahmedabad,referral,25,male
C00257,2024-12-03,medium,Chennai,organic,28,male
C00258,2025-10-02,medium,Pune,organic,23,male
C00259,2025-04-17,medium,Ahmedabad,organic,21,female
C00260,2024-05-30,low,Delhi,referral,24,female
C00261,2025-02-18,low,Kolkata,organic,38,male
C00262,2024-10-24,medium,Delhi,organic,35,female
C00263,2025-09-02,low,Bhubaneswar,ads,40,male
C00264,2024-09-19,medium,Bangalore,ads,34,female
C00265,2024-05-23,medium,Mumbai,organic,21,male
C00266,2024-12-11,high,Kolkata,referral,39,female
C00267,2025-09-15,medium,Bangalore,ads,24,female
C00268,2025-07-25,medium,Chennai,ads,41,female
C00269,2024-01-02,low,Bhubaneswar,organic,23,female
C00270,2024-10-30,medium,Jaipur,referral,28,female
C00271,2024-09-10,low,Bhubaneswar,organic,31,male
C00272,2025-10-13,medium,Pune,organic,41,female
C00273,2025-03-28,medium,Bhubaneswar,organic,36,male
C00274,2024-02-06,medium,Chennai,ads,35,male
C00275,2024-06-08,high,Jaipur,ads,53,male
C00276,2024-01-09,medium,Jaipur,ads,18,female
C00277,2024-08-20,high,Hyderabad,organic,24,male
C00278,2024-04-08,medium,Bhubaneswar,ads,24,female
C00279,2025-10-20,medium,Delhi,ads,18,female
C00280,2024-07-26,low,Hyderabad,organic,27,male
C00281,2024-05-10,medium,Hyderabad,referral,41,male
C00282,2025-02-07,high,Chennai,organic,29,other
C00283,2024-05-31,medium,Kolkata,ads,31,female
C00284,2024-02-23,low,Delhi,organic,18,male
C00285,2024-04-29,low,Jaipur,ads,27,male
C00286,2025-11-03,medium,Bhubaneswar,referral,30,male
C00287,2025-09-19,medium,Hyderabad,referral,41,male
C00288,2025-08-09,high,Bangalore,organic,18,male
C00289,2025-09-16,low,Bangalore,ads,30,female
C00290,2025-02-23,medium,Hyderabad,organic,45,female
C00291,2025-02-25,medium,Pune,referral,30,female
C00292,2024-04-13,medium,Bhubaneswar,ads,18,male
C00293,2024-09-10,high,Chennai,organic,47,male
C00294,2024-08-14,low,Jaipur,organic,42,female
C00295,2024-04-21,high,Hyderabad,referral,43,female
C00296,2025-05-24,medium,Delhi,ads,18,male
C00297,2025-04-17,medium,Hyderabad,organic,50,female
C00298,2024-04-08,low,Ahmedabad,organic,27,female
C00299,2024-06-01,low,Jaipur,organic,29,female
C00300,2024-12-03,medium,Kolkata,ads,27,female
C00301,2025-12-06,medium,Jaipur,referral,44,female
C00302,2024-06-11,low,Delhi,referral,33,male
C00303,2025-12-20,high,Ahmedabad,ads,39,female
C00304,2025-11-11,medium,Kolkata,referral,35,male
C00305,2024-06-09,medium,Mumbai,ads,34,male
C00306,2025-08-02,low,Delhi,organic,25,male
C00307,2025-02-01,medium,Bangalore,referral,53,male
C00308,2024-10-03,low,Pune,organic,20,other
C00309,2025-05-18,medium,Jaipur,organic,39,male
C00310,2025-01-26,medium,Mumbai,referral,38,female
C00311,2024-05-14,medium,Ahmedabad,organic,46,male
C00312,2024-07-13,medium,Mumbai,ads,48,male
C00313,2025-02-04,medium,Chennai,referral,33,female
C00314,2025-10-01,medium,Bhubaneswar,ads,40,male
C00315,2024-02-02,high,Jaipur,organic,52,female
C00316,2025-11-18,low,Bhubaneswar,organic,34,male
C00317,2025-04-04,low,Bangalore,organic,24,female
C00318,2025-04-14,medium,Mumbai,ads,31,male
C00319,2025-01-09,medium,Ahmedabad,ads,21,female
C00320,2024-01-22,high,Bangalore,ads,38,male
C00321,2025-10-31,medium,Bhubaneswar,ads,45,female
C00322,2024-02-07,low,Mumbai,ads,33,female
C00323,2024-08-17,high,Bangalore,ads,18,male
C00324,2024-12-30,high,Delhi,referral,45,male
C00325,2025-07-16,low,Hyderabad,organic,18,female
C00326,2025-03-13,medium,Pune,referral,19,female
C00327,2024-10-09,high,Kolkata,ads,33,male
C00328,2024-01-27,medium,Delhi,organic,37,female
C00329,2024-08-13,medium,Bangalore,organic,39,female
C00330,2024-10-03,medium,Ahmedabad,organic,34,female
C00331,2025-08-31,low,Chennai,ads,52,other
C00332,2024-10-10,low,Hyderabad,organic,35,female
C00333,2025-04-25,medium,Kolkata,referral,45,female
C00334,2025-03-28,low,Delhi,ads,42,female
C00335,2025-10-20,medium,Chennai,referral,22,male
C00336,2025-05-30,low,Chennai,organic,33,female
C00337,2025-06-30,medium,Chennai,organic,56,female
C00338,2024-07-10,low,Hyderabad,organic,29,female
C00339,2024-02-18,low,Mumbai,organic,28,male
C00340,2025-05-26,high,Delhi,referral,36,male
C00341,2024-01-17,low,Mumbai,organic,30,female
C00342,2024-06-20,low,Jaipur,ads,27,female
C00343,2024-08-07,low,Hyderabad,organic,30,male
C00344,2024-06-06,medium,Chennai,ads,49,male
C00345,2025-04-21,low,Chennai,referral,33,female
C00346,2024-02-15,low,Hyderabad,ads,21,female
C00347,2025-01-07,medium,Jaipur,ads,19,female
C00348,2025-06-01,low,Pune,organic,57,female
C00349,2024-04-08,high,Ahmedabad,referral,32,male
C00350,2024-02-06,high,Pune,ads,39,female
C00351,2024-10-06,medium,Mumbai,ads,27,female
C00352,2024-12-14,medium,Hyderabad,ads,38,female
C00353,2025-05-11,medium,Ahmedabad,referral,49,male
C00354,2024-10-28,high,Pune,ads,28,male
C00355,2024-06-29,low,Mumbai,ads,39,female
C00356,2025-08-29,high,Bangalore,ads,20,female
C00357,2024-04-08,high,Bhubaneswar,organic,55,female
C00358,2025-11-30,high,Ahmedabad,ads,37,female
C00359,2024-04-25,medium,Kolkata,ads,30,male
C00360,2024-07-09,low,Ahmedabad,ads,32,female
C00361,2024-09-09,medium,Mumbai,ads,29,female
C00362,2024-06-09,low,Chennai,organic,30,female
C00363,2024-09-12,high,Mumbai,ads,18,female
C00364,2024-11-18,medium,Delhi,referral,34,male
C00365,2024-05-07,medium,Chennai,referral,33,female
C00366,2024-01-18,medium,Mumbai,organic,39,male
C00367,2025-07-19,high,Pune,ads,29,other
C00368,2025-07-23,medium,Bhubaneswar,referral,27,female
C00369,2024-11-18,medium,Mumbai,ads,34,female
C00370,2025-11-16,low,Pune,ads,18,other
C00371,2025-09-17,medium,Kolkata,referral,36,male
C00372,2024-10-14,high,Delhi,ads,18,male
C00373,2025-10-24,medium,Bangalore,ads,46,female
C00374,2025-09-30,high,Delhi,organic,41,male
C00375,2024-06-03,low,Chennai,organic,25,male
C00376,2025-05-04,medium,Bhubaneswar,organic,41,female
C00377,2025-01-20,high,Delhi,referral,36,female
C00378,2024-04-13,low,Ahmedabad,ads,24,male
C00379,2025-01-27,medium,Bangalore,ads,18,male
C00380,2024-09-02,high,Chennai,referral,38,male
C00381,2024-06-24,medium,Ahmedabad,ads,27,female
C00382,2024-02-08,medium,Chennai,ads,45,male
C00383,2025-04-21,low,Ahmedabad,organic,35,female
C00384,2025-11-12,low,Jaipur,referral,28,female
C00385,2025-06-21,low,Bhubaneswar,organic,52,male
C00386,2025-02-11,medium,Pune,organic,40,male
C00387,2025-06-08,medium,Delhi,organic,18,female
C00388,2025-05-20,low,Kolkata,organic,30,male
C00389,2024-02-05,high,Ahmedabad,organic,21,female
C00390,2025-11-15,medium,Jaipur,ads,27,female
C00391,2024-01-20,medium,Bhubaneswar,organic,33,male
C00392,2024-11-16,high,Kolkata,ads,38,male
C00393,2025-05-26,medium,Delhi,organic,37,female
C00394,2025-02-03,low,Jaipur,organic,45,male
C00395,2025-10-15,low,Kolkata,ads,41,male
C00396,2025-04-15,high,Bangalore,referral,40,male
C00397,2024-05-22,high,Hyderabad,referral,37,female
C00398,2024-04-01,medium,Chennai,referral,47,female
C00399,2024-12-19,low,Chennai,ads,31,male
C00400,2025-12-27,high,Mumbai,ads,32,female
C00401,2024-02-20,low,Bangalore,ads,18,male
C00402,2025-10-26,high,Hyderabad,ads,45,female
C00403,2025-11-28,medium,Mumbai,organic,34,male
C00404,2025-07-28,medium,Kolkata,ads,64,male
C00405,2024-07-08,low,Mumbai,organic,30,female
C00406,2024-05-04,medium,Ahmedabad,ads,35,male
C00407,2024-05-29,medium,Bangalore,ads,40,male
C00408,2024-11-09,medium,Jaipur,organic,23,female
C00409,2025-07-23,low,Jaipur,organic,38,female
C00410,2024-12-07,low,Hyderabad,organic,35,female
C00411,2024-10-31,high,Delhi,referral,31,female
C00412,2025-11-22,low,Jaipur,organic,46,female
C00413,2025-11-12,medium,Bangalore,organic,25,male
C00414,2024-02-23,high,Bhubaneswar,referral,37,male
C00415,2025-03-19,medium,Chennai,ads,49,male
C00416,2025-09-04,high,Bhubaneswar,organic,27,male
C00417,2024-09-20,low,Mumbai,organic,32,female
C00418,2024-02-22,low,Pune,organic,58,male
C00419,2025-07-25,high,Ahmedabad,organic,39,male
C00420,2025-09-11,medium,Pune,organic,29,male
C00421,2024-01-05,low,Bangalore,ads,43,male
C00422,2024-04-12,low,Pune,referral,29,female
C00423,2024-07-14,medium,Bhubaneswar,ads,19,male
C00424,2024-12-15,low,Delhi,ads,48,male
C00425,2024-02-16,medium,Bangalore,organic,23,other
C00426,2025-10-17,medium,Chennai,organic,59,female
C00427,2024-09-25,low,Hyderabad,referral,30,female
C00428,2025-01-04,medium,Bangalore,organic,56,female
C00429,2025-09-27,medium,Kolkata,referral,21,female
C00430,2024-04-15,medium,Chennai,ads,45,male
C00431,2025-10-31,low,Bangalore,referral,39,male
C00432,2025-10-20,low,Kolkata,organic,43,female
C00433,2025-10-18,medium,Chennai,organic,44,male
C00434,2024-04-29,medium,Mumbai,ads,30,male
C00435,2025-08-26,medium,Jaipur,ads,21,male
C00436,2024-02-27,medium,Ahmedabad,organic,34,male
C00437,2024-12-11,medium,Jaipur,referral,37,female
C00438,2025-04-18,low,Bhubaneswar,organic,30,male
C00439,2024-04-26,medium,Hyderabad,organic,37,male
C00440,2024-05-06,medium,Jaipur,ads,38,female
C00441,2025-01-27,high,Bangalore,ads,25,female
C00442,2025-10-02,medium,Mumbai,referral,38,female
C00443,2024-02-27,low,Pune,ads,32,male
C00444,2025-09-25,medium,Bhubaneswar,organic,28,male
C00445,2025-05-27,high,Jaipur,ads,42,female
C00446,2024-04-05,medium,Delhi,organic,27,male
C00447,2025-09-29,medium,Hyderabad,ads,30,male
C00448,2024-04-27,high,Pune,ads,35,female
C00449,2025-07-13,medium,Ahmedabad,organic,48,male
C00450,2025-08-23,medium,Bangalore,ads,36,male
C00451,2025-05-02,medium,Mumbai,ads,40,male
C00452,2024-08-24,medium,Chennai,ads,32,male
C00453,2024-09-28,medium,Jaipur,ads,34,male
C00454,2024-07-07,low,Delhi,organic,34,male
C00455,2025-12-04,medium,Hyderabad,organic,37,male
C00456,2025-03-22,medium,Ahmedabad,organic,32,male
C00457,2025-08-03,medium,Jaipur,organic,48,male
C00458,2024-09-03,medium,Ahmedabad,ads,31,female
C00459,2024-03-16,low,Pune,referral,18,female
C00460,2024-06-02,medium,Pune,ads,62,male
C00461,2025-10-17,low,Bhubaneswar,ads,31,other
C00462,2025-03-10,high,Jaipur,ads,48,female
C00463,2024-03-26,medium,Mumbai,organic,49,female
C00464,2025-11-27,low,Hyderabad,referral,44,male
C00465,2024-10-11,medium,Chennai,referral,33,female
C00466,2024-08-07,medium,Chennai,ads,37,female
C00467,2024-03-09,medium,Bangalore,organic,22,male
C00468,2024-02-16,low,Bangalore,ads,54,female
C00469,2024-04-03,high,Hyderabad,organic,26,female
C00470,2025-03-28,low,Jaipur,ads,32,male
C00471,2024-07-22,high,Jaipur,referral,35,male
C00472,2024-08-05,low,Pune,organic,33,male
C00473,2025-04-18,medium,Delhi,referral,28,male
C00474,2025-03-07,low,Bangalore,referral,48,male
C00475,2024-12-06,medium,Delhi,referral,44,female
C00476,2025-07-04,low,Jaipur,ads,38,female
C00477,2025-09-03,high,Bangalore,organic,31,female
C00478,2024-10-15,high,Chennai,ads,45,female
C00479,2024-09-10,medium,Ahmedabad,ads,30,male
C00480,2024-12-22,high,Bangalore,organic,50,male
C00481,2024-01-23,high,Jaipur,ads,36,female
C00482,2025-06-05,low,Jaipur,ads,47,male
C00483,2024-04-09,low,Ahmedabad,organic,33,female
C00484,2024-06-28,medium,Delhi,organic,35,male
C00485,2024-08-10,low,Hyderabad,organic,47,female
C00486,2025-10-20,medium,Ahmedabad,ads,56,male
C00487,2025-03-17,medium,Chennai,ads,50,male
C00488,2025-08-30,low,Jaipur,organic,43,female
C00489,2024-11-20,medium,Mumbai,referral,40,female
C00490,2025-05-30,low,Chennai,organic,29,male
C00491,2024-01-16,medium,Delhi,ads,37,female
C00492,2024-12-01,medium,Ahmedabad,ads,25,male
C00493,2024-09-14,high,Jaipur,ads,38,male
C00494,2025-05-11,high,Jaipur,organic,39,female
C00495,2024-06-08,high,Ahmedabad,referral,18,male
C00496,2025-04-19,low,Hyderabad,referral,35,female
C00497,2025-10-25,low,Ahmedabad,ads,39,female
C00498,2025-11-20,low,Bangalore,ads,34,male
C00499,2025-11-05,medium,Kolkata,organic,38,male
C00500,2025-01-14,medium,Hyderabad,ads,21,male
C00501,2025-06-28,high,Kolkata,ads,27,male
C00502,2025-11-21,medium,Delhi,ads,45,female
C00503,2025-03-02,medium,Pune,ads,35,male
C00504,2025-09-04,low,Chennai,ads,38,male
C00505,2024-09-24,medium,Bhubaneswar,organic,29,female
C00506,2025-07-30,high,Ahmedabad,organic,35,female
C00507,2025-02-20,high,Chennai,organic,18,female
C00508,2024-06-16,high,Bhubaneswar,organic,43,female
C00509,2024-02-12,medium,Delhi,ads,53,female
C00510,2025-07-09,low,Delhi,ads,24,female
C00511,2024-10-11,medium,Pune,ads,25,male
C00512,2025-01-31,low,Hyderabad,ads,39,female
C00513,2024-01-12,medium,Chennai,ads,49,male
C00514,2025-08-29,medium,Chennai,organic,34,other
C00515,2024-10-28,high,Ahmedabad,organic,22,male
C00516,2024-09-09,low,Delhi,organic,32,female
C00517,2025-05-13,low,Bhubaneswar,ads,24,female
C00518,2024-02-04,high,Mumbai,organic,28,female
C00519,2025-12-27,medium,Pune,organic,31,female
C00520,2024-03-30,medium,Hyderabad,ads,25,male
C00521,2025-08-27,medium,Jaipur,referral,27,female
C00522,2025-08-24,low,Mumbai,ads,35,male
C00523,2025-02-21,medium,Bangalore,ads,37,female
