transaction_id,customer_id,product_id,transaction_date,quantity,price,discount
54,C00002,P0118,2025-09-18,2,3405,0.08
55,C00002,P0005,2025-09-13,1,8411,0.05
56,C00002,P0110,2025-09-16,1,2108,0.04
57,C00002,P0056,2025-09-05,3,33217,0.03
58,C00002,P0114,2025-10-18,2,856,0.13
59,C00002,P0106,2025-10-27,1,1474,0.08
60,C00002,P0021,2025-10-21,1,22916,0.08
61,C00002,P0050,2025-10-26,2,14239,0.04
62,C00002,P0029,2025-10-05,3,38761,0.16
63,C00002,P0028,2025-11-15,3,2009,0.01
64,C00002,P0020,2025-11-25,2,1264,0.05
65,C00002,P0018,2025-11-23,1,17921,0.08
66,C00002,P0111,2025-11-19,3,8250,0.07
67,C00002,P0106,2025-12-29,1,1474,0.07
68,C00002,P0045,2025-12-18,1,3767,0.05
69,C00002,P0107,2025-12-13,1,4638,0.1
70,C00002,P0090,2026-01-01,3,1754,0.02
71,C00002,P0086,2026-01-22,1,41602,0.04
72,C00002,P0103,2026-02-08,2,2740,0.1
73,C00002,P0050,2026-03-14,3,14239,0.02
74,C00002,P0092,2026-03-11,2,803,0.03
75,C00002,P0062,2026-03-19,2,2148,0.09
76,C00002,P0075,2026-03-22,3,3023,0.04
77,C00004,P0021,2024-05-06,1,22916,0.05
78,C00004,P0070,2024-06-27,1,2480,0.06
79,C00004,P0018,2024-06-30,2,17921,0.07
80,C00004,P0041,2024-07-20,1,3073,0.01
81,C00004,P0029,2024-07-01,1,38761,0.03
82,C00004,P0064,2024-07-19,2,26494,0.03
83,C00004,P0015,2024-08-25,2,9498,0.04
84,C00004,P0116,2024-08-09,1,8497,0.04
85,C00004,P0065,2024-09-09,3,4389,0.09
86,C00004,P0026,2024-09-27,3,1435,0.03
87,C00004,P0013,2024-09-29,2,10349,0.02
88,C00004,P0031,2024-10-13,2,28113,0.02
89,C00004,P0111,2024-11-08,1,8250,0.01
90,C00004,P0081,2024-12-20,3,2835,0.0
91,C00004,P0055,2024-12-15,1,1930,0.09
92,C00004,P0100,2025-01-07,2,2523,0.05
93,C00004,P0079,2025-01-26,2,4936,0.02
94,C00004,P0021,2025-02-23,2,22916,0.02
95,C00004,P0032,2025-04-08,1,1956,0.04
96,C00004,P0078,2025-05-29,1,30202,0.0
97,C00004,P0055,2025-06-05,1,1930,0.1
98,C00004,P0017,2025-08-20,3,9441,0.0
99,C00004,P0094,2025-08-18,2,8333,0.01
100,C00004,P0030,2025-09-29,2,1840,0.12
101,C00004,P0051,2025-09-19,2,1000,0.07
102,C00004,P0117,2025-09-30,3,22643,0.07
103,C00004,P0081,2025-10-13,2,2835,0.19
104,C00004,P0100,2025-10-26,3,2523,0.07
105,C00004,P0107,2026-01-15,3,4638,0.08
106,C00004,P0035,2026-02-01,2,2894,0.09
107,C00004,P0069,2026-03-21,3,5639,0.08
108,C00005,P0050,2024-03-21,1,14239,0.05
109,C00005,P0007,2024-03-22,2,16826,0.0
110,C00005,P0099,2024-03-17,3,1702,0.23
111,C00005,P0119,2024-03-30,1,45211,0.25
112,C00005,P0058,2024-04-07,3,450,0.07
113,C00005,P0054,2024-04-02,3,1408,0.04
114,C00005,P0031,2024-04-05,1,28113,0.08
115,C00005,P0113,2024-04-27,3,1249,0.05
116,C00005,P0030,2024-04-22,2,1840,0.18
117,C00005,P0082,2024-05-20,2,6509,0.01
118,C00005,P0021,2024-05-29,2,22916,0.19
119,C00005,P0095,2024-05-03,1,5462,0.25
120,C00005,P0081,2024-05-23,3,2835,0.23
121,C00005,P0070,2024-05-19,3,2480,0.07
122,C00005,P0005,2024-05-12,3,8411,0.04
123,C00005,P0069,2024-05-18,1,5639,0.06
124,C00005,P0020,2024-06-08,3,1264,0.05
125,C00005,P0023,2024-06-15,1,2907,0.1
126,C00005,P0117,2024-06-14,2,22643,0.13
127,C00005,P0113,2024-06-06,2,1249,0.05
128,C00005,P0098,2024-07-08,2,924,0.02
129,C00005,P0041,2024-07-27,1,3073,0.01
130,C00005,P0046,2024-07-11,1,37838,0.09
131,C00005,P0003,2024-07-06,2,49187,0.0
132,C00005,P0062,2024-08-15,2,2148,0.1
133,C00005,P0106,2024-08-02,1,1474,0.04
134,C00005,P0083,2024-08-09,1,3718,0.07
135,C00005,P0109,2024-08-27,1,1820,0.06
136,C00005,P0050,2024-10-24,1,14239,0.07
137,C00005,P0091,2024-10-14,3,4994,0.07
138,C00005,P0035,2024-10-11,1,2894,0.01
139,C00005,P0066,2024-11-19,1,2073,0.1
140,C00005,P0058,2024-11-26,2,450,0.0
141,C00005,P0085,2024-11-21,3,9976,0.19
142,C00005,P0100,2024-11-04,1,2523,0.04
143,C00005,P0095,2024-11-26,3,5462,0.03
144,C00005,P0030,2024-11-28,3,1840,0.09
145,C00005,P0100,2024-11-07,2,2523,0.06
146,C00005,P0060,2024-12-01,1,11069,0.1
147,C00005,P0032,2024-12-12,1,1956,0.08
148,C00005,P0110,2024-12-10,1,2108,0.08
149,C00005,P0045,2024-12-19,3,3767,0.08
150,C00005,P0088,2024-12-26,1,35723,0.09
151,C00005,P0118,2024-12-20,3,3405,0.01
152,C00005,P0105,2025-01-29,3,49247,0.03
153,C00005,P0002,2025-01-15,2,1370,0.08
154,C00005,P0035,2025-01-28,2,2894,0.1
155,C00005,P0044,2025-02-19,3,1799,0.25
156,C00005,P0013,2025-02-05,3,10349,0.16
157,C00005,P0104,2025-03-06,2,3266,0.08
158,C00005,P0101,2025-03-11,1,25363,0.1
159,C00005,P0051,2025-03-18,1,1000,0.0
160,C00005,P0092,2025-03-06,3,803,0.04
161,C00005,P0073,2025-03-03,2,4368,0.06
162,C00005,P0039,2025-03-30,1,4937,0.03
163,C00005,P0047,2025-04-04,3,1018,0.09
164,C00005,P0014,2025-04-15,3,5630,0.07
165,C00005,P0105,2025-05-17,3,49247,0.01
166,C00005,P0115,2025-05-06,2,7554,0.02
167,C00005,P0059,2025-05-16,1,2027,0.02
168,C00005,P0009,2025-06-29,3,2189,0.08
169,C00005,P0043,2025-06-21,3,1946,0.08
170,C00005,P0050,2025-06-14,2,14239,0.01
171,C00005,P0027,2025-06-21,3,7517,0.04
172,C00005,P0102,2025-06-13,3,7244,0.0
173,C00005,P0112,2025-06-07,2,9448,0.21
174,C00005,P0078,2025-06-17,2,30202,0.09
175,C00005,P0026,2025-07-25,2,1435,0.01
176,C00005,P0032,2025-07-25,1,1956,0.02
177,C00005,P0113,2025-07-09,2,1249,0.04
178,C00005,P0024,2025-08-26,2,1856,0.19
179,C00005,P0067,2025-08-08,1,2745,0.13
180,C00005,P0114,2025-08-25,2,856,0.07
181,C00005,P0073,2025-08-05,2,4368,0.18
182,C00005,P0008,2025-08-15,1,1087,0.27
183,C00005,P0120,2025-10-14,2,8402,0.0
184,C00005,P0026,2025-10-22,2,1435,0.04
185,C00005,P0110,2025-11-04,1,2108,0.24
186,C00005,P0030,2025-11-06,3,1840,0.03
187,C00005,P0042,2025-11-30,1,1953,0.0
188,C00005,P0086,2025-11-15,2,41602,0.04
189,C00005,P0014,2025-11-19,3,5630,0.01
190,C00005,P0047,2025-11-06,2,1018,0.09
191,C00005,P0027,2025-12-03,2,7517,0.06
192,C00005,P0020,2025-12-23,1,1264,0.04
193,C00005,P0006,2025-12-03,1,2561,0.1
194,C00005,P0021,2025-12-21,2,22916,0.09
195,C00005,P0002,2026-01-15,2,1370,0.0
196,C00005,P0112,2026-01-17,1,9448,0.03
197,C00005,P0004,2026-01-15,3,16775,0.25
198,C00005,P0045,2026-02-03,1,3767,0.15
199,C00005,P0105,2026-03-09,3,49247,0.04
200,C00005,P0065,2026-03-26,2,4389,0.05
201,C00005,P0001,2026-03-10,2,4758,0.11
202,C00005,P0052,2026-03-27,3,2681,0.02
203,C00006,P0017,2025-12-04,2,9441,0.04
204,C00006,P0048,2025-12-07,2,2191,0.06
205,C00006,P0015,2025-12-14,3,9498,0.05
206,C00006,P0023,2025-12-30,2,2907,0.05
207,C00006,P0049,2025-12-10,2,2611,0.07
208,C00006,P0059,2025-12-01,2,2027,0.11
209,C00006,P0089,2026-01-21,1,1912,0.06
210,C00006,P0050,2026-01-20,1,14239,0.19
211,C00006,P0062,2026-01-06,2,2148,0.04
212,C00006,P0066,2026-01-02,2,2073,0.3
213,C00006,P0049,2026-01-09,3,2611,0.26
214,C00006,P0019,2026-02-18,2,4101,0.06
215,C00006,P0036,2026-02-17,3,2526,0.01
216,C00006,P0001,2026-02-17,2,4758,0.09
217,C00006,P0116,2026-03-02,2,8497,0.0
218,C00006,P0079,2026-03-20,3,4936,0.21
219,C00006,P0091,2026-03-24,2,4994,0.18
220,C00007,P0045,2024-01-25,3,3767,0.08
221,C00007,P0036,2024-01-21,1,2526,0.03
222,C00007,P0108,2024-02-08,1,11701,0.04
223,C00007,P0019,2024-02-02,1,4101,0.07
224,C00007,P0038,2024-02-26,3,3819,0.03
225,C00007,P0091,2024-02-07,1,4994,0.09
226,C00007,P0118,2024-02-11,1,3405,0.1
227,C00007,P0080,2024-02-10,2,2146,0.04
228,C00007,P0107,2024-03-26,2,4638,0.09
229,C00007,P0093,2024-03-06,1,9095,0.04
230,C00007,P0001,2024-03-14,3,4758,0.06
231,C00007,P0102,2024-04-17,3,7244,0.01
232,C00007,P0075,2024-04-22,2,3023,0.13
233,C00007,P0064,2024-04-26,3,26494,0.02
234,C00007,P0106,2024-04-28,1,1474,0.06
235,C00007,P0086,2024-04-16,2,41602,0.28
236,C00007,P0025,2024-04-24,3,23637,0.05
237,C00007,P0052,2024-04-12,1,2681,0.09
238,C00007,P0117,2024-04-21,2,22643,0.09
239,C00007,P0001,2024-04-30,3,4758,0.04
240,C00007,P0042,2024-05-28,2,1953,0.08
241,C00007,P0023,2024-05-26,3,2907,0.08
242,C00007,P0117,2024-05-02,3,22643,0.04
243,C00007,P0064,2024-05-30,2,26494,0.06
244,C00007,P0093,2024-05-13,2,9095,0.11
245,C00007,P0056,2024-05-09,1,33217,0.04
246,C00007,P0004,2024-06-30,3,16775,0.04
247,C00007,P0120,2024-06-11,2,8402,0.08
248,C00007,P0003,2024-06-01,3,49187,0.06
249,C00007,P0013,2024-06-20,2,10349,0.07
250,C00007,P0120,2024-06-18,2,8402,0.01
251,C00007,P0033,2024-07-19,1,1275,0.08
252,C00007,P0018,2024-07-18,1,17921,0.06
253,C00007,P0077,2024-07-08,3,17868,0.15
254,C00007,P0107,2024-07-25,2,4638,0.02
255,C00007,P0003,2024-07-30,3,49187,0.09
256,C00007,P0095,2024-07-09,3,5462,0.05
257,C00007,P0058,2024-08-19,3,450,0.02
258,C00007,P0093,2024-08-04,1,9095,0.03
259,C00007,P0004,2024-08-04,3,16775,0.06
260,C00007,P0076,2024-09-10,2,6650,0.17
261,C00007,P0109,2024-09-03,2,1820,0.04
262,C00007,P0035,2024-09-06,3,2894,0.04
263,C00007,P0011,2024-10-22,1,7915,0.06
264,C00007,P0099,2024-10-05,1,1702,0.03
265,C00007,P0038,2024-10-21,2,3819,0.01
266,C00007,P0064,2024-10-17,2,26494,0.1
267,C00007,P0011,2024-10-05,2,7915,0.25
268,C00007,P0047,2024-10-02,2,1018,0.05
269,C00007,P0083,2024-11-13,1,3718,0.05
270,C00007,P0039,2024-11-19,1,4937,0.03
271,C00007,P0089,2024-11-16,2,1912,0.05
272,C00007,P0045,2024-11-05,1,3767,0.01
273,C00007,P0099,2024-11-07,3,1702,0.04
274,C00007,P0036,2024-11-03,2,2526,0.1
275,C00007,P0110,2024-11-04,2,2108,0.22
276,C00007,P0072,2024-12-05,2,42315,0.1
277,C00007,P0018,2024-12-01,1,17921,0.2
278,C00007,P0053,2025-01-27,3,11969,0.01
279,C00007,P0040,2025-01-17,1,7539,0.01
280,C00007,P0108,2025-01-28,1,11701,0.03
281,C00007,P0029,2025-01-06,1,38761,0.28
282,C00007,P0070,2025-02-08,3,2480,0.09
283,C00007,P0012,2025-03-11,1,21340,0.05
284,C00007,P0014,2025-03-06,2,5630,0.12
285,C00007,P0032,2025-03-08,3,1956,0.15
286,C00007,P0007,2025-03-28,2,16826,0.12
287,C00007,P0033,2025-03-19,2,1275,0.06
288,C00007,P0059,2025-04-12,2,2027,0.09
289,C00007,P0018,2025-04-08,1,17921,0.0
290,C00007,P0059,2025-04-28,3,2027,0.03
291,C00007,P0004,2025-04-22,2,16775,0.04
292,C00007,P0115,2025-05-01,3,7554,0.03
293,C00007,P0082,2025-05-16,3,6509,0.08
294,C00007,P0009,2025-06-24,1,2189,0.07
295,C00007,P0057,2025-06-30,2,19313,0.1
296,C00007,P0071,2025-06-11,1,30313,0.05
297,C00007,P0031,2025-06-29,3,28113,0.03
298,C00007,P0094,2025-06-14,2,8333,0.05
299,C00007,P0078,2025-07-16,2,30202,0.09
300,C00007,P0025,2025-07-04,3,23637,0.09
301,C00007,P0044,2025-07-02,1,1799,0.03
302,C00007,P0003,2025-07-01,3,49187,0.05
303,C00007,P0114,2025-07-21,3,856,0.0
304,C00007,P0034,2025-07-01,3,3950,0.08
305,C00007,P0053,2025-08-01,1,11969,0.1
306,C00007,P0023,2025-08-19,3,2907,0.05
307,C00007,P0055,2025-08-20,3,1930,0.01
308,C00007,P0008,2025-08-24,1,1087,0.02
309,C00007,P0083,2025-09-11,3,3718,0.1
310,C00007,P0031,2025-09-28,1,28113,0.18
311,C00007,P0089,2025-09-26,3,1912,0.13
312,C00007,P0032,2025-09-04,1,1956,0.01
313,C00007,P0108,2025-10-10,3,11701,0.15
314,C00007,P0078,2025-10-07,2,30202,0.02
315,C00007,P0017,2025-10-09,3,9441,0.27
316,C00007,P0091,2025-10-26,2,4994,0.17
317,C00007,P0005,2025-10-24,3,8411,0.28
318,C00007,P0011,2025-11-19,1,7915,0.13
319,C00007,P0046,2025-11-08,3,37838,0.28
320,C00007,P0039,2025-11-08,1,4937,0.07
321,C00007,P0088,2025-11-03,1,35723,0.04
322,C00007,P0032,2025-12-18,3,1956,0.16
323,C00007,P0015,2025-12-31,3,9498,0.02
324,C00007,P0048,2025-12-16,3,2191,0.1
325,C00007,P0023,2026-01-20,1,2907,0.02
326,C00007,P0062,2026-01-30,3,2148,0.09
327,C00007,P0003,2026-01-25,1,49187,0.03
328,C00007,P0088,2026-01-01,3,35723,0.06
329,C00007,P0068,2026-01-14,2,40708,0.08
330,C00007,P0044,2026-01-25,2,1799,0.1
331,C00007,P0112,2026-02-27,1,9448,0.09
332,C00007,P0035,2026-02-06,2,2894,0.08
333,C00007,P0048,2026-02-24,3,2191,0.26
334,C00007,P0025,2026-02-15,3,23637,0.01
335,C00007,P0024,2026-02-03,2,1856,0.09
336,C00007,P0023,2026-03-22,3,2907,0.14
337,C00007,P0001,2026-03-22,3,4758,0.05
338,C00007,P0053,2026-03-05,2,11969,0.08
339,C00007,P0041,2026-03-30,3,3073,0.01
340,C00007,P0114,2026-03-02,1,856,0.18
341,C00007,P0012,2026-03-13,1,21340,0.01
342,C00007,P0005,2026-03-03,1,8411,0.02
343,C00007,P0078,2026-03-13,2,30202,0.08
344,C00008,P0035,2025-09-28,1,2894,0.02
345,C00008,P0100,2025-09-22,1,2523,0.06
346,C00008,P0065,2025-09-19,1,4389,0.07
347,C00008,P0046,2025-09-18,1,37838,0.03
348,C00008,P0095,2025-10-16,3,5462,0.03
349,C00008,P0051,2025-10-14,2,1000,0.03
350,C00008,P0111,2025-10-08,1,8250,0.27
351,C00008,P0010,2025-10-02,2,260,0.04
352,C00008,P0113,2025-10-11,2,1249,0.29
353,C00008,P0096,2025-10-14,1,3723,0.1
354,C00008,P0002,2025-10-29,3,1370,0.24
355,C00008,P0111,2025-11-25,3,8250,0.17
356,C00008,P0103,2025-11-07,2,2740,0.01
357,C00008,P0008,2025-11-02,1,1087,0.06
358,C00008,P0042,2025-12-20,3,1953,0.07
359,C00008,P0010,2025-12-22,2,260,0.04
360,C00008,P0053,2026-01-14,2,11969,0.04
361,C00008,P0107,2026-01-14,1,4638,0.06
362,C00008,P0019,2026-03-26,2,4101,0.28
363,C00008,P0079,2026-03-28,2,4936,0.13
364,C00008,P0109,2026-03-26,1,1820,0.05
365,C00008,P0075,2026-03-22,2,3023,0.09
366,C00009,P0115,2024-06-23,1,7554,0.09
367,C00009,P0025,2024-07-21,1,23637,0.26
368,C00009,P0022,2024-09-16,1,2633,0.1
369,C00009,P0120,2024-10-16,2,8402,0.02
370,C00009,P0065,2024-10-06,3,4389,0.08
371,C00009,P0051,2024-12-03,2,1000,0.04
372,C00009,P0018,2024-12-14,1,17921,0.03
373,C00009,P0077,2024-12-23,3,17868,0.28
374,C00009,P0063,2025-02-15,1,3469,0.09
375,C00009,P0044,2025-03-06,1,1799,0.08
376,C00009,P0071,2025-04-18,2,30313,0.01
377,C00009,P0024,2025-05-07,1,1856,0.04
378,C00009,P0021,2025-05-06,3,22916,0.03
379,C00009,P0100,2025-05-21,3,2523,0.03
380,C00009,P0067,2025-05-27,1,2745,0.09
381,C00009,P0096,2025-05-03,1,3723,0.04
382,C00009,P0099,2025-06-21,2,1702,0.01
383,C00009,P0105,2025-06-16,3,49247,0.09
384,C00009,P0026,2025-06-07,1,1435,0.0
385,C00009,P0028,2025-07-12,1,2009,0.04
386,C00009,P0061,2025-07-01,1,2770,0.06
387,C00009,P0085,2025-08-03,3,9976,0.04
388,C00009,P0111,2025-09-09,2,8250,0.08
389,C00009,P0120,2025-09-21,1,8402,0.05
390,C00009,P0082,2025-09-13,2,6509,0.03
391,C00009,P0002,2025-11-09,3,1370,0.07
392,C00009,P0042,2026-01-06,1,1953,0.09
393,C00009,P0029,2026-01-05,3,38761,0.01
394,C00009,P0110,2026-02-25,1,2108,0.01
395,C00011,P0061,2024-08-05,3,2770,0.0
396,C00011,P0059,2024-08-23,3,2027,0.26
397,C00011,P0108,2024-08-13,1,11701,0.07
398,C00011,P0065,2024-09-06,3,4389,0.03
399,C00011,P0007,2024-09-27,2,16826,0.03
400,C00011,P0094,2024-09-23,2,8333,0.05
401,C00011,P0027,2024-10-31,3,7517,0.22
402,C00011,P0024,2024-11-06,3,1856,0.06
403,C00011,P0005,2024-11-03,2,8411,0.02
404,C00011,P0070,2024-11-03,1,2480,0.04
405,C00011,P0029,2024-11-18,2,38761,0.0
406,C00011,P0014,2024-11-03,1,5630,0.03
407,C00011,P0034,2024-12-06,3,3950,0.06
408,C00011,P0053,2024-12-04,1,11969,0.09
409,C00011,P0088,2024-12-12,3,35723,0.09
410,C00011,P0029,2025-01-01,1,38761,0.08
411,C00011,P0081,2025-01-30,1,2835,0.02
412,C00011,P0010,2025-01-16,2,260,0.06
413,C00011,P0005,2025-01-20,2,8411,0.07
414,C00011,P0037,2025-01-26,3,2576,0.06
415,C00011,P0025,2025-02-10,1,23637,0.05
416,C00011,P0028,2025-02-23,3,2009,0.11
417,C00011,P0107,2025-02-22,2,4638,0.18
418,C00011,P0028,2025-02-21,3,2009,0.18
419,C00011,P0025,2025-03-05,2,23637,0.06
420,C00011,P0041,2025-04-05,1,3073,0.08
421,C00011,P0074,2025-05-23,1,38139,0.06
422,C00011,P0118,2025-05-16,3,3405,0.01
423,C00011,P0120,2025-05-11,2,8402,0.02
424,C00011,P0058,2025-05-11,3,450,0.14
425,C00011,P0004,2025-05-02,1,16775,0.07
426,C00011,P0113,2025-06-30,2,1249,0.06
427,C00011,P0048,2025-06-16,2,2191,0.06
428,C00011,P0078,2025-06-17,1,30202,0.19
429,C00011,P0075,2025-07-15,3,3023,0.13
430,C00011,P0020,2025-07-14,3,1264,0.02
431,C00011,P0050,2025-07-26,2,14239,0.01
432,C00011,P0024,2025-07-25,3,1856,0.03
433,C00011,P0048,2025-07-19,1,2191,0.05
434,C00011,P0045,2025-07-12,2,3767,0.07
435,C00011,P0019,2025-08-14,1,4101,0.02
436,C00011,P0047,2025-08-17,3,1018,0.03
437,C00011,P0049,2025-08-03,2,2611,0.05
438,C00011,P0004,2025-09-06,3,16775,0.02
439,C00011,P0080,2025-09-07,2,2146,0.01
440,C00011,P0113,2025-09-02,1,1249,0.02
441,C00011,P0097,2025-09-02,3,6138,0.0
442,C00011,P0079,2025-09-07,3,4936,0.03
443,C00011,P0015,2025-10-27,1,9498,0.01
444,C00011,P0085,2025-10-27,2,9976,0.05
445,C00011,P0018,2025-11-05,2,17921,0.06
446,C00011,P0057,2025-11-27,1,19313,0.07
447,C00011,P0010,2025-12-02,2,260,0.09
448,C00011,P0026,2025-12-08,3,1435,0.06
449,C00011,P0099,2025-12-19,1,1702,0.04
450,C00011,P0001,2025-12-12,3,4758,0.07
451,C00011,P0006,2026-01-29,1,2561,0.04
452,C00011,P0070,2026-01-26,3,2480,0.05
453,C00011,P0013,2026-01-31,1,10349,0.01
454,C00011,P0005,2026-01-12,2,8411,0.08
455,C00011,P0078,2026-01-16,2,30202,0.04
456,C00011,P0101,2026-01-09,3,25363,0.08
457,C00011,P0010,2026-01-19,3,260,0.05
458,C00011,P0001,2026-01-30,3,4758,0.0
459,C00011,P0062,2026-02-07,3,2148,0.11
460,C00011,P0108,2026-02-19,3,11701,0.19
461,C00011,P0041,2026-02-09,3,3073,0.14
462,C00011,P0012,2026-02-25,3,21340,0.17
463,C00011,P0066,2026-02-17,1,2073,0.08
464,C00011,P0034,2026-02-15,2,3950,0.01
465,C00011,P0103,2026-03-27,3,2740,0.09
466,C00011,P0107,2026-03-15,3,4638,0.08
467,C00011,P0020,2026-03-27,3,1264,0.02
468,C00011,P0080,2026-03-13,2,2146,0.06
469,C00011,P0016,2026-03-04,2,14117,0.05
470,C00011,P0065,2026-03-23,1,4389,0.04
471,C00012,P0114,2024-12-12,2,856,0.08
472,C00012,P0076,2024-12-25,3,6650,0.06
473,C00012,P0046,2024-12-17,1,37838,0.07
474,C00012,P0024,2024-12-19,1,1856,0.06
475,C00012,P0020,2024-12-08,1,1264,0.02
476,C00012,P0013,2025-01-15,2,10349,0.19
477,C00012,P0085,2025-01-11,3,9976,0.08
478,C00012,P0068,2025-01-17,1,40708,0.07
479,C00012,P0078,2025-02-02,3,30202,0.1
480,C00012,P0032,2025-02-27,1,1956,0.05
481,C00012,P0101,2025-02-04,2,25363,0.06
482,C00012,P0115,2025-02-17,1,7554,0.22
483,C00012,P0115,2025-02-19,3,7554,0.28
484,C00012,P0066,2025-02-11,2,2073,0.13
485,C00012,P0062,2025-02-24,1,2148,0.2
486,C00012,P0002,2025-03-27,2,1370,0.05
487,C00012,P0018,2025-03-22,3,17921,0.02
488,C00012,P0077,2025-03-04,1,17868,0.22
489,C00012,P0042,2025-03-28,1,1953,0.05
490,C00012,P0034,2025-03-10,3,3950,0.2
491,C00012,P0075,2025-03-27,2,3023,0.06
492,C00012,P0009,2025-03-02,1,2189,0.0
493,C00012,P0033,2025-03-02,2,1275,0.05
494,C00012,P0053,2025-04-18,3,11969,0.09
495,C00012,P0078,2025-04-11,3,30202,0.04
496,C00012,P0063,2025-04-02,1,3469,0.29
497,C00012,P0075,2025-05-31,1,3023,0.19
498,C00012,P0067,2025-06-04,1,2745,0.06
499,C00012,P0035,2025-06-05,3,2894,0.09
500,C00012,P0022,2025-07-09,2,2633,0.1
501,C00012,P0093,2025-07-17,1,9095,0.29
502,C00012,P0101,2025-07-18,1,25363,0.09
503,C00012,P0021,2025-07-17,3,22916,0.01
504,C00012,P0068,2025-08-05,1,40708,0.07
505,C00012,P0094,2025-08-03,3,8333,0.03
506,C00012,P0023,2025-08-06,3,2907,0.03
507,C00012,P0026,2025-08-16,3,1435,0.09
508,C00012,P0053,2025-08-10,3,11969,0.06
509,C00012,P0064,2025-08-21,1,26494,0.14
510,C00012,P0025,2025-08-12,3,23637,0.2
511,C00012,P0110,2025-09-29,3,2108,0.14
512,C00012,P0009,2025-09-16,2,2189,0.08
513,C00012,P0039,2025-09-25,1,4937,0.03
514,C00012,P0059,2025-09-16,3,2027,0.09
515,C00012,P0088,2025-10-04,2,35723,0.02
516,C00012,P0092,2025-10-17,2,803,0.22
517,C00012,P0046,2025-10-12,1,37838,0.08
518,C00012,P0060,2025-10-13,2,11069,0.02
519,C00012,P0039,2025-11-21,3,4937,0.11
520,C00012,P0005,2025-11-26,3,8411,0.06
521,C00012,P0120,2025-11-21,1,8402,0.03
522,C00012,P0062,2025-11-24,3,2148,0.08
523,C00012,P0073,2025-11-27,1,4368,0.12
524,C00012,P0075,2025-11-12,3,3023,0.18
525,C00012,P0101,2025-11-08,2,25363,0.01
526,C00012,P0009,2025-12-01,1,2189,0.06
527,C00012,P0064,2025-12-15,2,26494,0.04
528,C00012,P0034,2025-12-07,3,3950,0.08
529,C00012,P0107,2025-12-27,3,4638,0.07
530,C00012,P0068,2025-12-16,3,40708,0.09
531,C00012,P0084,2026-01-27,3,4650,0.07
532,C00012,P0043,2026-01-20,1,1946,0.05
533,C00012,P0002,2026-01-14,3,1370,0.07
534,C00012,P0036,2026-02-18,2,2526,0.25
535,C00012,P0119,2026-02-15,2,45211,0.14
536,C00012,P0084,2026-02-17,3,4650,0.09
537,C00012,P0073,2026-03-05,1,4368,0.26
